Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
CAD,526.3,509.68,530.18,532.52,527.99,2021.06.09 23:42:44,
CAD,526.3,509.68,530.18,532.52,527.99,2021.06.09 23:42:44,
CAD,526.3,509.68,530.18,532.52,527.99,2021.06.09 23:42:44,
CAD,525.82,509.22,529.7,532.03,527.99,2021.06.09 23:32:17,
CAD,526.52,509.89,530.4,532.74,527.99,2021.06.09 23:00:39,
CAD,526.48,509.85,530.36,532.7,527.99,2021.06.09 22:51:56,
CAD,526.52,509.89,530.4,532.74,527.99,2021.06.09 22:48:47,
CAD,526.53,509.9,530.41,532.75,527.99,2021.06.09 22:38:03,
CAD,527.27,510.63,531.16,533.51,527.99,2021.06.09 22:04:31,
CAD,527.48,510.83,531.37,533.72,527.99,2021.06.09 21:44:48,
CAD,527.43,510.78,531.32,533.67,527.99,2021.06.09 21:36:16,
CAD,527.35,510.7,531.24,533.59,527.99,2021.06.09 21:31:36,
CAD,527.39,510.74,531.28,533.63,527.99,2021.06.09 21:31:25,
CAD,527.43,510.78,531.32,533.67,527.99,2021.06.09 21:28:29,
CAD,526.96,510.32,530.84,533.18,527.99,2021.06.09 20:15:04,
CAD,526.78,510.14,530.66,533,527.99,2021.06.09 19:45:41,
CAD,527.09,510.44,530.97,533.31,527.99,2021.06.09 19:29:25,
CAD,526.87,510.23,530.75,533.09,527.99,2021.06.09 18:21:24,
CAD,526.7,510.07,530.58,532.92,527.99,2021.06.09 18:18:43,
CAD,526.74,510.11,530.62,532.96,527.99,2021.06.09 18:10:36,
CAD,526.56,509.93,530.44,532.78,527.99,2021.06.09 17:59:38,
CAD,526.48,509.85,530.36,532.7,527.99,2021.06.09 17:58:29,
CAD,526.48,509.85,530.36,532.7,527.99,2021.06.09 17:54:03,
CAD,526.43,509.81,530.31,532.65,527.99,2021.06.09 17:51:27,
CAD,526.65,510.02,530.53,532.87,527.99,2021.06.09 17:49:21,
CAD,526.43,509.81,530.31,532.65,527.99,2021.06.09 17:47:23,
CAD,526.73,510.1,530.61,532.95,527.99,2021.06.09 17:33:07,
CAD,526.77,510.13,530.65,532.99,527.99,2021.06.09 17:28:23,
CAD,526.77,510.13,530.65,532.99,527.99,2021.06.09 17:21:56,
CAD,526.64,510.01,530.52,532.86,527.99,2021.06.09 17:19:20,
CAD,526.51,509.88,530.39,532.73,527.99,2021.06.09 17:17:12,
CAD,526.47,509.85,530.35,532.69,527.99,2021.06.09 17:13:24,
CAD,526.68,510.05,530.56,532.9,527.99,2021.06.09 17:12:16,
CAD,526.51,509.88,530.39,532.73,527.99,2021.06.09 17:11:37,
CAD,526.51,509.88,530.39,532.73,527.99,2021.06.09 17:09:11,
CAD,526.73,510.1,530.61,532.95,527.99,2021.06.09 16:46:20,
CAD,526.99,510.35,530.87,533.21,527.99,2021.06.09 16:40:42,
CAD,526.82,510.18,530.7,533.04,527.99,2021.06.09 16:37:36,
CAD,526.9,510.26,530.78,533.12,527.99,2021.06.09 16:37:05,
CAD,526.81,510.17,530.69,533.03,527.99,2021.06.09 16:31:21,
CAD,526.81,510.17,530.69,533.03,527.99,2021.06.09 16:29:58,
CAD,526.81,510.17,530.69,533.03,527.99,2021.06.09 16:29:48,
CAD,526.81,510.17,530.69,533.03,527.99,2021.06.09 16:29:04,
CAD,526.98,510.34,530.86,533.2,527.99,2021.06.09 16:26:24,
CAD,526.98,510.34,530.86,533.2,527.99,2021.06.09 16:23:05,
CAD,526.93,510.29,530.81,533.15,527.99,2021.06.09 16:18:56,
CAD,526.84,510.2,530.72,533.06,527.99,2021.06.09 16:17:11,
CAD,526.76,510.12,530.64,532.98,527.99,2021.06.09 16:14:11,
CAD,526.76,510.12,530.64,532.98,527.99,2021.06.09 16:11:56,
CAD,526.72,510.09,530.6,532.94,527.99,2021.06.09 16:10:24,
CAD,526.71,510.08,530.59,532.93,527.99,2021.06.09 16:05:22,
CAD,526.71,510.08,530.59,532.93,527.99,2021.06.09 16:02:51,
CAD,526.75,510.12,530.63,532.97,527.99,2021.06.09 15:59:55,
CAD,526.75,510.12,530.63,532.97,527.99,2021.06.09 15:56:33,
CAD,526.79,510.15,530.67,533.01,527.99,2021.06.09 15:56:21,
CAD,526.83,510.19,530.71,533.05,527.99,2021.06.09 15:53:41,
CAD,526.83,510.19,530.71,533.05,527.99,2021.06.09 15:51:44,
CAD,526.88,510.24,530.76,533.1,527.99,2021.06.09 15:49:45,
CAD,526.75,510.12,530.63,532.97,527.99,2021.06.09 15:48:57,
CAD,526.71,510.08,530.59,532.93,527.99,2021.06.09 15:46:59,
CAD,526.66,510.03,530.54,532.88,527.99,2021.06.09 15:45:03,
CAD,526.67,510.04,530.55,532.89,527.99,2021.06.09 15:43:56,
CAD,526.67,510.04,530.55,532.89,527.99,2021.06.09 15:40:37,
CAD,526.67,510.04,530.55,532.89,527.99,2021.06.09 15:40:03,
CAD,526.67,510.04,530.55,532.89,527.99,2021.06.09 15:29:58,
