Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
CHF,710.62,688.7,715.62,718.68,713.05,2021.06.09 23:42:44,
CHF,710.62,688.7,715.62,718.68,713.05,2021.06.09 23:42:44,
CHF,710.62,688.7,715.62,718.68,713.05,2021.06.09 23:42:44,
CHF,710.46,688.54,715.46,718.52,713.05,2021.06.09 23:32:17,
CHF,710.38,688.46,715.38,718.44,713.05,2021.06.09 23:00:39,
CHF,710.04,688.13,715.02,718.09,713.05,2021.06.09 22:51:56,
CHF,710.36,688.43,715.34,718.41,713.05,2021.06.09 22:48:47,
CHF,710.68,688.75,715.68,718.74,713.05,2021.06.09 22:38:03,
CHF,712.2,690.22,717.2,720.27,713.05,2021.06.09 22:04:31,
CHF,712.35,690.37,717.35,720.43,713.05,2021.06.09 21:44:48,
CHF,712.67,690.68,717.67,720.75,713.05,2021.06.09 21:36:16,
CHF,712.59,690.6,717.59,720.67,713.05,2021.06.09 21:31:36,
CHF,712.56,690.57,717.56,720.64,713.05,2021.06.09 21:31:25,
CHF,712.24,690.26,717.24,720.31,713.05,2021.06.09 21:28:29,
CHF,711.04,689.1,716.04,719.11,713.05,2021.06.09 20:15:04,
CHF,710.49,688.57,715.49,718.55,713.05,2021.06.09 19:45:41,
CHF,710.41,688.49,715.41,718.47,713.05,2021.06.09 19:29:25,
CHF,710.34,688.42,715.32,718.39,713.05,2021.06.09 18:21:24,
CHF,710.34,688.42,715.32,718.39,713.05,2021.06.09 18:18:43,
CHF,710.34,688.42,715.32,718.39,713.05,2021.06.09 18:10:36,
CHF,710.46,688.54,715.46,718.52,713.05,2021.06.09 17:59:38,
CHF,710.46,688.54,715.46,718.52,713.05,2021.06.09 17:58:29,
CHF,710.46,688.54,715.46,718.52,713.05,2021.06.09 17:54:03,
CHF,710.36,688.44,715.36,718.42,713.05,2021.06.09 17:51:27,
CHF,710.19,688.27,715.17,718.24,713.05,2021.06.09 17:49:21,
CHF,710.11,688.19,715.09,718.16,713.05,2021.06.09 17:47:23,
CHF,710.34,688.42,715.32,718.39,713.05,2021.06.09 17:33:07,
CHF,710.37,688.45,715.37,718.43,713.05,2021.06.09 17:28:23,
CHF,710.08,688.16,715.06,718.13,713.05,2021.06.09 17:21:56,
CHF,710,688.09,714.98,718.05,713.05,2021.06.09 17:19:20,
CHF,710.16,688.24,715.14,718.21,713.05,2021.06.09 17:17:12,
CHF,710.08,688.16,715.06,718.13,713.05,2021.06.09 17:13:24,
CHF,710.22,688.3,715.2,718.27,713.05,2021.06.09 17:12:16,
CHF,710.14,688.22,715.12,718.19,713.05,2021.06.09 17:11:37,
CHF,710.06,688.15,715.04,718.11,713.05,2021.06.09 17:09:11,
CHF,710.16,688.24,715.14,718.21,713.05,2021.06.09 16:46:20,
CHF,710.06,688.15,715.04,718.11,713.05,2021.06.09 16:40:42,
CHF,710.14,688.22,715.12,718.19,713.05,2021.06.09 16:37:36,
CHF,710.11,688.19,715.09,718.16,713.05,2021.06.09 16:37:05,
CHF,710.01,688.1,714.99,718.06,713.05,2021.06.09 16:31:21,
CHF,710.17,688.25,715.15,718.22,713.05,2021.06.09 16:29:58,
CHF,710.23,688.31,715.21,718.28,713.05,2021.06.09 16:29:48,
CHF,710.2,688.28,715.18,718.25,713.05,2021.06.09 16:29:04,
CHF,710.36,688.43,715.34,718.41,713.05,2021.06.09 16:26:24,
CHF,710.62,688.7,715.62,718.68,713.05,2021.06.09 16:23:05,
CHF,710.78,688.85,715.78,718.84,713.05,2021.06.09 16:18:56,
CHF,710.7,688.77,715.7,718.76,713.05,2021.06.09 16:17:11,
CHF,710.78,688.85,715.78,718.84,713.05,2021.06.09 16:14:11,
CHF,710.78,688.85,715.78,718.84,713.05,2021.06.09 16:11:56,
CHF,710.73,688.8,715.73,718.79,713.05,2021.06.09 16:10:24,
CHF,710.54,688.62,715.54,718.6,713.05,2021.06.09 16:05:22,
CHF,710.36,688.44,715.36,718.42,713.05,2021.06.09 16:02:51,
CHF,710.42,688.5,715.42,718.48,713.05,2021.06.09 15:59:55,
CHF,710.47,688.55,715.47,718.53,713.05,2021.06.09 15:56:33,
CHF,710.53,688.61,715.53,718.59,713.05,2021.06.09 15:56:21,
CHF,710.66,688.73,715.66,718.72,713.05,2021.06.09 15:53:41,
CHF,710.5,688.58,715.5,718.56,713.05,2021.06.09 15:51:44,
CHF,710.58,688.66,715.58,718.64,713.05,2021.06.09 15:49:45,
CHF,710.45,688.53,715.45,718.51,713.05,2021.06.09 15:48:57,
CHF,710.39,688.47,715.39,718.45,713.05,2021.06.09 15:46:59,
CHF,710.39,688.47,715.39,718.45,713.05,2021.06.09 15:45:03,
CHF,710.35,688.43,715.33,718.4,713.05,2021.06.09 15:43:56,
CHF,710.29,688.37,715.27,718.34,713.05,2021.06.09 15:40:37,
CHF,710.29,688.37,715.27,718.34,713.05,2021.06.09 15:40:03,
CHF,710.21,688.29,715.19,718.26,713.05,2021.06.09 15:29:58,
CHF,710.29,688.37,715.27,718.34,713.05,2021.06.09 15:17:10,
CHF,710.19,688.27,715.17,718.24,713.05,2021.06.09 15:16:49,
CHF,710,688.09,714.98,718.05,713.05,2021.06.09 15:10:20,
CHF,710.19,688.27,715.17,718.24,713.05,2021.06.09 15:06:14,
CHF,710.32,688.4,715.3,718.37,713.05,2021.06.09 15:02:58,
CHF,710.19,688.27,715.17,718.24,713.05,2021.06.09 14:59:16,
CHF,710.3,688.38,715.28,718.35,713.05,2021.06.09 14:57:26,
CHF,710.37,688.45,715.37,718.43,713.05,2021.06.09 14:46:48,
CHF,710.58,688.66,715.58,718.64,713.05,2021.06.09 14:46:37,
CHF,710.61,688.69,715.61,718.67,713.05,2021.06.09 14:45:44,
CHF,710.61,688.69,715.61,718.67,713.05,2021.06.09 14:44:57,
CHF,710.77,688.84,715.77,718.83,713.05,2021.06.09 14:17:25,
CHF,710.74,688.81,715.74,718.8,713.05,2021.06.09 14:14:35,
CHF,710.69,688.76,715.69,718.75,713.05,2021.06.09 14:02:40,
CHF,710.59,688.67,715.59,718.65,713.05,2021.06.09 14:02:29,
CHF,710.46,688.54,715.46,718.52,713.05,2021.06.09 13:57:03,
CHF,710.46,688.54,715.46,718.52,713.05,2021.06.09 13:51:12,
CHF,710.56,688.64,715.56,718.62,713.05,2021.06.09 13:45:19,
CHF,710.61,688.69,715.61,718.67,713.05,2021.06.09 13:38:48,
CHF,710.64,688.71,715.64,718.7,713.05,2021.06.09 13:23:13,
CHF,710.64,688.71,715.64,718.7,713.05,2021.06.09 13:09:13,
CHF,710.58,688.66,715.58,718.64,713.05,2021.06.09 12:51:03,
CHF,710.61,688.69,715.61,718.67,713.05,2021.06.09 12:15:56,
CHF,710.66,688.73,715.66,718.72,713.05,2021.06.09 12:06:43,
CHF,710.74,688.81,715.74,718.8,713.05,2021.06.09 11:51:26,
CHF,710.88,688.95,715.88,718.94,713.05,2021.06.09 11:45:01,
CHF,710.88,688.95,715.88,718.94,713.05,2021.06.09 11:34:26,
CHF,710.88,688.95,715.88,718.94,713.05,2021.06.09 11:30:30,
CHF,710.82,688.89,715.82,718.88,713.05,2021.06.09 11:27:51,
CHF,710.93,689,715.93,718.99,713.05,2021.06.09 11:21:45,
CHF,710.96,689.02,715.96,719.02,713.05,2021.06.09 11:20:53,
CHF,710.85,688.92,715.85,718.91,713.05,2021.06.09 11:19:38,
CHF,710.9,688.97,715.9,718.96,713.05,2021.06.09 11:17:49,
CHF,710.85,688.92,715.85,718.91,713.05,2021.06.09 11:15:47,
CHF,710.96,689.02,715.96,719.02,713.05,2021.06.09 11:07:08,
CHF,710.93,689,715.93,718.99,713.05,2021.06.09 11:03:03,
CHF,710.88,688.95,715.88,718.94,713.05,2021.06.09 11:01:20,
CHF,710.88,688.95,715.88,718.94,713.05,2021.06.09 10:59:51,
CHF,710.85,688.92,715.85,718.91,713.05,2021.06.09 10:57:56,
CHF,710.91,688.98,715.91,718.97,713.05,2021.06.09 10:56:57,
CHF,710.91,688.98,715.91,718.97,713.05,2021.06.09 10:56:16,
CHF,710.83,688.9,715.83,718.89,713.05,2021.06.09 10:53:45,
CHF,710.83,688.9,715.83,718.89,713.05,2021.06.09 10:50:55,
CHF,710.83,688.9,715.83,718.89,713.05,2021.06.09 10:44:32,
CHF,710.89,688.96,715.89,718.95,713.05,2021.06.09 10:38:23,
CHF,710.86,688.93,715.86,718.92,713.05,2021.06.09 10:37:38,
CHF,711,689.06,716,719.07,713.05,2021.06.09 10:30:00,
CHF,711,689.06,716,719.07,713.05,2021.06.09 10:30:00,
CHF,711,689.06,716,719.07,713.05,2021.06.09 10:30:00,
CHF,711,689.06,716,719.07,713.05,2021.06.09 10:24:21,
CHF,711.05,689.11,716.05,719.12,713.05,2021.06.09 10:22:02,
CHF,711.13,689.19,716.13,719.2,713.05,2021.06.09 10:12:48,
CHF,711.08,689.14,716.08,719.15,713.05,2021.06.09 10:11:11,
CHF,711.08,689.14,716.08,719.15,713.05,2021.06.09 10:11:11,
CHF,711.08,689.14,716.08,719.15,713.05,2021.06.09 10:10:24,
CHF,711.08,689.14,716.08,719.15,713.05,2021.06.09 10:10:24,
CHF,711.08,689.14,716.08,719.15,713.05,2021.06.09 09:59:32,
CHF,710.97,689.03,715.97,719.04,713.05,2021.06.09 09:56:28,
CHF,711.03,689.09,716.03,719.1,713.05,2021.06.09 09:55:05,
CHF,710.97,689.03,715.97,719.04,713.05,2021.06.09 09:52:31,
CHF,710.86,688.93,715.86,718.92,713.05,2021.06.09 09:51:04,
CHF,710.92,688.99,715.92,718.98,713.05,2021.06.09 09:46:21,
CHF,710.81,688.88,715.81,718.87,713.05,2021.06.09 09:43:19,
CHF,710.75,688.82,715.75,718.81,713.05,2021.06.09 09:40:44,
CHF,710.67,688.74,715.67,718.73,713.05,2021.06.09 09:39:32,
CHF,710.78,688.85,715.78,718.84,713.05,2021.06.09 09:38:50,
