Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
DKK,104.26,101.04,105.1,105.6,104.69,2021.06.09 23:42:44,
DKK,104.26,101.04,105.1,105.6,104.69,2021.06.09 23:42:44,
DKK,104.26,101.04,105.1,105.6,104.69,2021.06.09 23:42:44,
DKK,104.23,101.01,105.07,105.57,104.69,2021.06.09 23:32:17,
DKK,104.22,101,105.06,105.56,104.69,2021.06.09 23:00:39,
DKK,104.2,100.98,105.04,105.54,104.69,2021.06.09 22:51:56,
DKK,104.25,101.03,105.09,105.59,104.69,2021.06.09 22:48:47,
DKK,104.24,101.02,105.08,105.58,104.69,2021.06.09 22:38:03,
DKK,104.4,101.18,105.24,105.74,104.69,2021.06.09 22:04:31,
DKK,104.42,101.2,105.26,105.76,104.69,2021.06.09 21:44:48,
DKK,104.47,101.25,105.31,105.81,104.69,2021.06.09 21:36:16,
DKK,104.47,101.25,105.31,105.81,104.69,2021.06.09 21:31:36,
DKK,104.47,101.25,105.31,105.81,104.69,2021.06.09 21:31:25,
DKK,104.45,101.23,105.29,105.79,104.69,2021.06.09 21:28:29,
DKK,104.29,101.07,105.13,105.63,104.69,2021.06.09 20:15:04,
DKK,104.28,101.06,105.12,105.62,104.69,2021.06.09 19:45:41,
DKK,104.28,101.06,105.12,105.62,104.69,2021.06.09 19:29:25,
DKK,104.27,101.05,105.11,105.61,104.69,2021.06.09 18:21:24,
DKK,104.27,101.05,105.11,105.61,104.69,2021.06.09 18:18:43,
DKK,104.26,101.04,105.1,105.6,104.69,2021.06.09 18:10:36,
DKK,104.26,101.04,105.1,105.6,104.69,2021.06.09 17:59:38,
DKK,104.26,101.04,105.1,105.6,104.69,2021.06.09 17:58:29,
DKK,104.27,101.05,105.11,105.61,104.69,2021.06.09 17:54:03,
DKK,104.25,101.03,105.09,105.59,104.69,2021.06.09 17:51:27,
DKK,104.25,101.03,105.09,105.59,104.69,2021.06.09 17:49:21,
DKK,104.24,101.02,105.08,105.58,104.69,2021.06.09 17:47:23,
DKK,104.27,101.05,105.11,105.61,104.69,2021.06.09 17:33:07,
DKK,104.28,101.06,105.12,105.62,104.69,2021.06.09 17:28:23,
DKK,104.27,101.05,105.11,105.61,104.69,2021.06.09 17:21:56,
DKK,104.26,101.04,105.1,105.6,104.69,2021.06.09 17:19:20,
DKK,104.26,101.04,105.1,105.6,104.69,2021.06.09 17:17:12,
DKK,104.25,101.03,105.09,105.59,104.69,2021.06.09 17:13:24,
DKK,104.26,101.04,105.1,105.6,104.69,2021.06.09 17:12:16,
DKK,104.26,101.04,105.1,105.6,104.69,2021.06.09 17:11:37,
DKK,104.24,101.02,105.08,105.58,104.69,2021.06.09 17:09:11,
DKK,104.27,101.05,105.11,105.61,104.69,2021.06.09 16:46:20,
DKK,104.26,101.04,105.1,105.6,104.69,2021.06.09 16:40:42,
DKK,104.26,101.04,105.1,105.6,104.69,2021.06.09 16:37:36,
DKK,104.27,101.05,105.11,105.61,104.69,2021.06.09 16:37:05,
DKK,104.27,101.05,105.11,105.61,104.69,2021.06.09 16:31:21,
DKK,104.31,101.09,105.15,105.65,104.69,2021.06.09 16:29:58,
DKK,104.3,101.08,105.14,105.64,104.69,2021.06.09 16:29:48,
DKK,104.3,101.08,105.14,105.64,104.69,2021.06.09 16:29:04,
DKK,104.31,101.09,105.15,105.65,104.69,2021.06.09 16:26:24,
DKK,104.35,101.13,105.19,105.69,104.69,2021.06.09 16:23:05,
DKK,104.34,101.12,105.18,105.68,104.69,2021.06.09 16:18:56,
DKK,104.32,101.1,105.16,105.66,104.69,2021.06.09 16:17:11,
DKK,104.32,101.1,105.16,105.66,104.69,2021.06.09 16:14:11,
DKK,104.34,101.12,105.18,105.68,104.69,2021.06.09 16:11:56,
DKK,104.31,101.09,105.15,105.65,104.69,2021.06.09 16:10:24,
DKK,104.29,101.07,105.13,105.63,104.69,2021.06.09 16:05:22,
DKK,104.28,101.06,105.12,105.62,104.69,2021.06.09 16:02:51,
DKK,104.29,101.07,105.13,105.63,104.69,2021.06.09 15:59:55,
DKK,104.29,101.07,105.13,105.63,104.69,2021.06.09 15:56:33,
DKK,104.29,101.07,105.13,105.63,104.69,2021.06.09 15:56:21,
DKK,104.3,101.08,105.14,105.64,104.69,2021.06.09 15:53:41,
DKK,104.3,101.08,105.14,105.64,104.69,2021.06.09 15:51:44,
DKK,104.3,101.08,105.14,105.64,104.69,2021.06.09 15:49:45,
DKK,104.28,101.06,105.12,105.62,104.69,2021.06.09 15:48:57,
DKK,104.27,101.05,105.11,105.61,104.69,2021.06.09 15:46:59,
DKK,104.27,101.05,105.11,105.61,104.69,2021.06.09 15:45:03,
DKK,104.27,101.05,105.11,105.61,104.69,2021.06.09 15:43:56,
DKK,104.25,101.03,105.09,105.59,104.69,2021.06.09 15:40:37,
DKK,104.26,101.04,105.1,105.6,104.69,2021.06.09 15:40:03,
DKK,104.28,101.06,105.12,105.62,104.69,2021.06.09 15:29:58,
DKK,104.28,101.06,105.12,105.62,104.69,2021.06.09 15:17:10,
DKK,104.28,101.06,105.12,105.62,104.69,2021.06.09 15:16:49,
DKK,104.26,101.04,105.1,105.6,104.69,2021.06.09 15:10:20,
DKK,104.27,101.05,105.11,105.61,104.69,2021.06.09 15:06:14,
DKK,104.29,101.07,105.13,105.63,104.69,2021.06.09 15:02:58,
DKK,104.27,101.05,105.11,105.61,104.69,2021.06.09 14:59:16,
DKK,104.28,101.06,105.12,105.62,104.69,2021.06.09 14:57:26,
DKK,104.3,101.08,105.14,105.64,104.69,2021.06.09 14:46:48,
DKK,104.31,101.09,105.15,105.65,104.69,2021.06.09 14:46:37,
DKK,104.3,101.08,105.14,105.64,104.69,2021.06.09 14:45:44,
DKK,104.31,101.09,105.15,105.65,104.69,2021.06.09 14:44:57,
DKK,104.3,101.08,105.14,105.64,104.69,2021.06.09 14:17:25,
DKK,104.3,101.08,105.14,105.64,104.69,2021.06.09 14:14:35,
DKK,104.3,101.08,105.14,105.64,104.69,2021.06.09 14:02:40,
DKK,104.31,101.09,105.15,105.65,104.69,2021.06.09 14:02:29,
DKK,104.28,101.06,105.12,105.62,104.69,2021.06.09 13:57:03,
DKK,104.27,101.05,105.11,105.61,104.69,2021.06.09 13:51:12,
DKK,104.29,101.07,105.13,105.63,104.69,2021.06.09 13:45:19,
DKK,104.3,101.08,105.14,105.64,104.69,2021.06.09 13:38:48,
DKK,104.29,101.07,105.13,105.63,104.69,2021.06.09 13:23:13,
DKK,104.3,101.08,105.14,105.64,104.69,2021.06.09 13:09:13,
DKK,104.29,101.07,105.13,105.63,104.69,2021.06.09 12:51:03,
DKK,104.29,101.07,105.13,105.63,104.69,2021.06.09 12:15:56,
DKK,104.29,101.07,105.13,105.63,104.69,2021.06.09 12:06:43,
DKK,104.3,101.08,105.14,105.64,104.69,2021.06.09 11:51:26,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 11:45:01,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 11:34:26,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 11:30:30,
DKK,104.32,101.1,105.16,105.66,104.69,2021.06.09 11:27:51,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 11:21:45,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 11:20:53,
DKK,104.32,101.1,105.16,105.66,104.69,2021.06.09 11:19:38,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 11:17:49,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 11:15:47,
DKK,104.34,101.12,105.18,105.68,104.69,2021.06.09 11:07:08,
DKK,104.35,101.13,105.19,105.69,104.69,2021.06.09 11:03:03,
DKK,104.35,101.13,105.19,105.69,104.69,2021.06.09 11:01:20,
DKK,104.34,101.12,105.18,105.68,104.69,2021.06.09 10:59:51,
DKK,104.34,101.12,105.18,105.68,104.69,2021.06.09 10:57:56,
DKK,104.35,101.13,105.19,105.69,104.69,2021.06.09 10:56:57,
DKK,104.35,101.13,105.19,105.69,104.69,2021.06.09 10:56:16,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 10:53:45,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 10:50:55,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 10:44:32,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 10:38:23,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 10:37:38,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 10:30:00,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 10:30:00,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 10:30:00,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 10:24:21,
DKK,104.35,101.13,105.19,105.69,104.69,2021.06.09 10:22:02,
DKK,104.36,101.14,105.2,105.7,104.69,2021.06.09 10:12:48,
DKK,104.35,101.13,105.19,105.69,104.69,2021.06.09 10:11:11,
DKK,104.35,101.13,105.19,105.69,104.69,2021.06.09 10:11:11,
DKK,104.35,101.13,105.19,105.69,104.69,2021.06.09 10:10:24,
DKK,104.35,101.13,105.19,105.69,104.69,2021.06.09 10:10:24,
DKK,104.35,101.13,105.19,105.69,104.69,2021.06.09 09:59:32,
DKK,104.34,101.12,105.18,105.68,104.69,2021.06.09 09:56:28,
DKK,104.35,101.13,105.19,105.69,104.69,2021.06.09 09:55:05,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 09:52:31,
DKK,104.32,101.1,105.16,105.66,104.69,2021.06.09 09:51:04,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 09:46:21,
DKK,104.31,101.09,105.15,105.65,104.69,2021.06.09 09:43:19,
DKK,104.29,101.07,105.13,105.63,104.69,2021.06.09 09:40:44,
DKK,104.29,101.07,105.13,105.63,104.69,2021.06.09 09:39:32,
DKK,104.3,101.08,105.14,105.64,104.69,2021.06.09 09:38:50,
DKK,104.31,101.09,105.15,105.65,104.69,2021.06.09 09:36:50,
DKK,104.33,101.11,105.17,105.67,104.69,2021.06.09 09:34:59,
DKK,104.31,101.09,105.15,105.65,104.69,2021.06.09 09:34:06,
DKK,104.31,101.09,105.15,105.65,104.69,2021.06.09 09:33:56,
DKK,104.3,101.08,105.14,105.64,104.69,2021.06.09 09:33:05,
DKK,104.31,101.09,105.15,105.65,104.69,2021.06.09 09:30:31,
DKK,104.35,101.13,105.19,105.69,104.69,2021.06.09 09:28:16,
DKK,104.35,101.13,105.19,105.69,104.69,2021.06.09 09:28:06,
DKK,104.35,101.13,105.19,105.69,104.76,2021.06.09 09:27:03,
DKK,104.35,101.13,105.19,105.69,104.76,2021.06.09 09:13:22,
DKK,104.35,101.13,105.19,105.69,104.76,2021.06.09 09:13:17,
