Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
HKD,82.13,81.48,82.46,82.46,82.43,2021.06.09 23:42:44,
HKD,82.13,81.48,82.46,82.46,82.43,2021.06.09 23:42:44,
HKD,82.13,81.48,82.46,82.46,82.43,2021.06.09 23:42:44,
HKD,82.13,81.48,82.46,82.46,82.43,2021.06.09 23:32:17,
HKD,82.13,81.48,82.46,82.46,82.43,2021.06.09 23:00:39,
HKD,82.12,81.47,82.45,82.45,82.43,2021.06.09 22:51:56,
HKD,82.12,81.47,82.45,82.45,82.43,2021.06.09 22:48:47,
HKD,82.09,81.44,82.42,82.42,82.43,2021.06.09 22:38:03,
HKD,82.1,81.45,82.43,82.43,82.43,2021.06.09 22:04:31,
HKD,82.13,81.48,82.46,82.46,82.43,2021.06.09 21:44:48,
HKD,82.13,81.48,82.46,82.46,82.43,2021.06.09 21:36:16,
HKD,82.13,81.48,82.46,82.46,82.43,2021.06.09 21:31:36,
HKD,82.13,81.48,82.46,82.46,82.43,2021.06.09 21:31:25,
HKD,82.13,81.48,82.46,82.46,82.43,2021.06.09 21:28:29,
HKD,82.14,81.49,82.47,82.47,82.43,2021.06.09 20:15:04,
HKD,82.14,81.49,82.47,82.47,82.43,2021.06.09 19:45:41,
HKD,82.14,81.49,82.47,82.47,82.43,2021.06.09 19:29:25,
HKD,82.14,81.49,82.47,82.47,82.43,2021.06.09 18:21:24,
HKD,82.14,81.49,82.47,82.47,82.43,2021.06.09 18:18:43,
HKD,82.14,81.49,82.47,82.47,82.43,2021.06.09 18:10:36,
HKD,82.14,81.49,82.47,82.47,82.43,2021.06.09 17:59:38,
HKD,82.14,81.49,82.47,82.47,82.43,2021.06.09 17:58:29,
HKD,82.14,81.49,82.47,82.47,82.43,2021.06.09 17:54:03,
HKD,82.15,81.5,82.48,82.48,82.43,2021.06.09 17:51:27,
HKD,82.16,81.51,82.49,82.49,82.43,2021.06.09 17:49:21,
HKD,82.16,81.51,82.49,82.49,82.43,2021.06.09 17:47:23,
HKD,82.16,81.51,82.49,82.49,82.43,2021.06.09 17:33:07,
HKD,82.17,81.51,82.5,82.5,82.43,2021.06.09 17:28:23,
HKD,82.16,81.51,82.49,82.49,82.43,2021.06.09 17:21:56,
HKD,82.16,81.51,82.49,82.49,82.43,2021.06.09 17:19:20,
HKD,82.16,81.51,82.49,82.49,82.43,2021.06.09 17:17:12,
HKD,82.16,81.51,82.49,82.49,82.43,2021.06.09 17:13:24,
HKD,82.17,81.51,82.5,82.5,82.43,2021.06.09 17:12:16,
HKD,82.17,81.51,82.5,82.5,82.43,2021.06.09 17:11:37,
HKD,82.17,81.51,82.5,82.5,82.43,2021.06.09 17:09:11,
HKD,82.16,81.51,82.49,82.49,82.43,2021.06.09 16:46:20,
HKD,82.17,81.51,82.5,82.5,82.43,2021.06.09 16:40:42,
HKD,82.17,81.51,82.5,82.5,82.43,2021.06.09 16:37:36,
HKD,82.18,81.52,82.51,82.51,82.43,2021.06.09 16:37:05,
HKD,82.18,81.52,82.51,82.51,82.43,2021.06.09 16:31:21,
HKD,82.18,81.52,82.51,82.51,82.43,2021.06.09 16:29:58,
HKD,82.19,81.53,82.52,82.52,82.43,2021.06.09 16:29:48,
HKD,82.19,81.53,82.52,82.52,82.43,2021.06.09 16:29:04,
HKD,82.19,81.53,82.52,82.52,82.43,2021.06.09 16:26:24,
HKD,82.21,81.55,82.54,82.54,82.43,2021.06.09 16:23:05,
HKD,82.21,81.55,82.54,82.54,82.43,2021.06.09 16:18:56,
HKD,82.21,81.55,82.54,82.54,82.43,2021.06.09 16:17:11,
HKD,82.21,81.55,82.54,82.54,82.43,2021.06.09 16:14:11,
HKD,82.21,81.55,82.54,82.54,82.43,2021.06.09 16:11:56,
HKD,82.2,81.54,82.53,82.53,82.43,2021.06.09 16:10:24,
HKD,82.21,81.55,82.54,82.54,82.43,2021.06.09 16:05:22,
HKD,82.21,81.55,82.54,82.54,82.43,2021.06.09 16:02:51,
HKD,82.22,81.56,82.55,82.55,82.43,2021.06.09 15:59:55,
HKD,82.23,81.57,82.56,82.56,82.43,2021.06.09 15:56:33,
HKD,82.23,81.57,82.56,82.56,82.43,2021.06.09 15:56:21,
HKD,82.24,81.58,82.57,82.57,82.43,2021.06.09 15:53:41,
HKD,82.24,81.58,82.57,82.57,82.43,2021.06.09 15:51:44,
HKD,82.24,81.58,82.57,82.57,82.43,2021.06.09 15:49:45,
HKD,82.23,81.57,82.56,82.56,82.43,2021.06.09 15:48:57,
HKD,82.22,81.56,82.55,82.55,82.43,2021.06.09 15:46:59,
HKD,82.23,81.57,82.56,82.56,82.43,2021.06.09 15:45:03,
HKD,82.22,81.56,82.55,82.55,82.43,2021.06.09 15:43:56,
HKD,82.21,81.55,82.54,82.54,82.43,2021.06.09 15:40:37,
HKD,82.21,81.55,82.54,82.54,82.43,2021.06.09 15:40:03,
HKD,82.21,81.55,82.54,82.54,82.43,2021.06.09 15:29:58,
HKD,82.21,81.55,82.54,82.54,82.43,2021.06.09 15:17:10,
HKD,82.22,81.56,82.55,82.55,82.43,2021.06.09 15:16:49,
HKD,82.23,81.57,82.56,82.56,82.43,2021.06.09 15:10:20,
