Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
IDR,,0.0432,,0.0467,,2021.06.09 23:42:44,
IDR,,0.0432,,0.0467,,2021.06.09 23:42:44,
IDR,,0.0432,,0.0467,,2021.06.09 23:42:44,
IDR,,0.0432,,0.0467,,2021.06.09 23:32:17,
IDR,,0.0432,,0.0467,,2021.06.09 23:00:39,
IDR,,0.0432,,0.0467,,2021.06.09 22:51:56,
IDR,,0.0432,,0.0467,,2021.06.09 22:48:47,
IDR,,0.0432,,0.0467,,2021.06.09 22:38:03,
IDR,,0.0432,,0.0467,,2021.06.09 22:04:31,
IDR,,0.0432,,0.0467,,2021.06.09 21:44:48,
IDR,,0.0432,,0.0467,,2021.06.09 21:36:16,
IDR,,0.0432,,0.0467,,2021.06.09 21:31:36,
IDR,,0.0432,,0.0467,,2021.06.09 21:31:25,
IDR,,0.0432,,0.0467,,2021.06.09 21:28:29,
IDR,,0.0432,,0.0467,,2021.06.09 20:15:04,
IDR,,0.0432,,0.0467,,2021.06.09 19:45:41,
IDR,,0.0432,,0.0467,,2021.06.09 19:29:25,
IDR,,0.0432,,0.0467,,2021.06.09 18:21:24,
IDR,,0.0432,,0.0467,,2021.06.09 18:18:43,
IDR,,0.0432,,0.0467,,2021.06.09 18:10:36,
IDR,,0.0432,,0.0467,,2021.06.09 17:59:38,
IDR,,0.0432,,0.0467,,2021.06.09 17:58:29,
IDR,,0.0432,,0.0467,,2021.06.09 17:54:03,
IDR,,0.0432,,0.0467,,2021.06.09 17:51:27,
IDR,,0.0432,,0.0467,,2021.06.09 17:49:21,
IDR,,0.0432,,0.0467,,2021.06.09 17:47:23,
IDR,,0.0432,,0.0467,,2021.06.09 17:33:07,
IDR,,0.0432,,0.0467,,2021.06.09 17:28:23,
IDR,,0.0432,,0.0467,,2021.06.09 17:21:56,
IDR,,0.0432,,0.0467,,2021.06.09 17:19:20,
IDR,,0.0432,,0.0467,,2021.06.09 17:17:12,
IDR,,0.0432,,0.0467,,2021.06.09 17:13:24,
IDR,,0.0432,,0.0467,,2021.06.09 17:12:16,
IDR,,0.0432,,0.0467,,2021.06.09 17:11:37,
IDR,,0.0432,,0.0467,,2021.06.09 17:09:11,
IDR,,0.0432,,0.0467,,2021.06.09 16:46:20,
IDR,,0.0432,,0.0467,,2021.06.09 16:40:42,
IDR,,0.0432,,0.0467,,2021.06.09 16:37:36,
IDR,,0.0432,,0.0467,,2021.06.09 16:37:05,
IDR,,0.0432,,0.0467,,2021.06.09 16:31:21,
