Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
NZD,456.91,442.81,460.11,466.44,460.19,2021.06.09 23:42:44,
NZD,456.91,442.81,460.11,466.44,460.19,2021.06.09 23:42:44,
NZD,456.91,442.81,460.11,466.44,460.19,2021.06.09 23:42:44,
NZD,456.66,442.56,459.86,466.19,460.19,2021.06.09 23:32:17,
NZD,456.6,442.51,459.8,466.13,460.19,2021.06.09 23:00:39,
NZD,456.33,442.25,459.53,465.85,460.19,2021.06.09 22:51:56,
NZD,456.46,442.37,459.66,465.98,460.19,2021.06.09 22:48:47,
NZD,456.57,442.48,459.77,466.1,460.19,2021.06.09 22:38:03,
NZD,458.16,444.02,461.38,467.72,460.19,2021.06.09 22:04:31,
NZD,458.81,444.65,462.03,468.39,460.19,2021.06.09 21:44:48,
NZD,458.94,444.78,462.16,468.52,460.19,2021.06.09 21:36:16,
NZD,459,444.83,462.22,468.58,460.19,2021.06.09 21:31:36,
NZD,458.98,444.81,462.2,468.56,460.19,2021.06.09 21:31:25,
NZD,458.85,444.69,462.07,468.43,460.19,2021.06.09 21:28:29,
NZD,458.53,444.38,461.75,468.1,460.19,2021.06.09 20:15:04,
NZD,458.4,444.25,461.62,467.97,460.19,2021.06.09 19:45:41,
NZD,458.34,444.2,461.56,467.91,460.19,2021.06.09 19:29:25,
NZD,458.4,444.25,461.62,467.97,460.19,2021.06.09 18:21:24,
NZD,458.4,444.25,461.62,467.97,460.19,2021.06.09 18:18:43,
NZD,458.47,444.32,461.69,468.04,460.19,2021.06.09 18:10:36,
NZD,458.5,444.35,461.72,468.07,460.19,2021.06.09 17:59:38,
NZD,458.5,444.35,461.72,468.07,460.19,2021.06.09 17:58:29,
NZD,458.44,444.29,461.66,468.01,460.19,2021.06.09 17:54:03,
NZD,458.28,444.14,461.5,467.85,460.19,2021.06.09 17:51:27,
NZD,458.32,444.18,461.54,467.89,460.19,2021.06.09 17:49:21,
NZD,458.25,444.11,461.47,467.82,460.19,2021.06.09 17:47:23,
NZD,458.45,444.3,461.67,468.02,460.19,2021.06.09 17:33:07,
NZD,458.52,444.37,461.74,468.09,460.19,2021.06.09 17:28:23,
NZD,458.61,444.46,461.83,468.18,460.19,2021.06.09 17:21:56,
NZD,458.55,444.4,461.77,468.12,460.19,2021.06.09 17:19:20,
NZD,458.55,444.4,461.77,468.12,460.19,2021.06.09 17:17:12,
NZD,458.42,444.27,461.64,467.99,460.19,2021.06.09 17:13:24,
NZD,458.45,444.3,461.67,468.02,460.19,2021.06.09 17:12:16,
NZD,458.26,444.12,461.48,467.83,460.19,2021.06.09 17:11:37,
NZD,458.33,444.19,461.55,467.9,460.19,2021.06.09 17:09:11,
NZD,458.42,444.27,461.64,467.99,460.19,2021.06.09 16:46:20,
NZD,458.58,444.43,461.8,468.15,460.19,2021.06.09 16:40:42,
NZD,458.58,444.43,461.8,468.15,460.19,2021.06.09 16:37:36,
NZD,458.62,444.47,461.84,468.19,460.19,2021.06.09 16:37:05,
NZD,458.65,444.5,461.87,468.22,460.19,2021.06.09 16:31:21,
