Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
SAR,,165.55,,175.01,170.51,2021.06.09 23:42:44,
SAR,,165.55,,175.01,170.51,2021.06.09 23:42:44,
SAR,,165.55,,175.01,170.51,2021.06.09 23:42:44,
SAR,,165.55,,175.01,170.51,2021.06.09 23:32:17,
SAR,,165.54,,175,170.51,2021.06.09 23:00:39,
SAR,,165.51,,174.97,170.51,2021.06.09 22:51:56,
SAR,,165.51,,174.97,170.51,2021.06.09 22:48:47,
SAR,,165.46,,174.92,170.51,2021.06.09 22:38:03,
SAR,,165.47,,174.93,170.51,2021.06.09 22:04:31,
SAR,,165.52,,174.98,170.51,2021.06.09 21:44:48,
SAR,,165.52,,174.98,170.51,2021.06.09 21:36:16,
SAR,,165.52,,174.98,170.51,2021.06.09 21:31:36,
SAR,,165.53,,174.99,170.51,2021.06.09 21:31:25,
SAR,,165.53,,174.99,170.51,2021.06.09 21:28:29,
SAR,,165.53,,174.99,170.51,2021.06.09 20:15:04,
SAR,,165.53,,174.99,170.51,2021.06.09 19:45:41,
SAR,,165.53,,174.99,170.51,2021.06.09 19:29:25,
SAR,,165.53,,174.99,170.51,2021.06.09 18:21:24,
SAR,,165.53,,174.99,170.51,2021.06.09 18:18:43,
SAR,,165.53,,174.99,170.51,2021.06.09 18:10:36,
SAR,,165.55,,175.01,170.51,2021.06.09 17:59:38,
SAR,,165.55,,175.01,170.51,2021.06.09 17:58:29,
SAR,,165.55,,175.01,170.51,2021.06.09 17:54:03,
SAR,,165.56,,175.02,170.51,2021.06.09 17:51:27,
SAR,,165.57,,175.03,170.51,2021.06.09 17:49:21,
SAR,,165.57,,175.03,170.51,2021.06.09 17:47:23,
SAR,,165.57,,175.03,170.51,2021.06.09 17:33:07,
SAR,,165.59,,175.07,170.51,2021.06.09 17:28:23,
SAR,,165.59,,175.05,170.51,2021.06.09 17:21:56,
SAR,,165.59,,175.05,170.51,2021.06.09 17:19:20,
SAR,,165.59,,175.05,170.51,2021.06.09 17:17:12,
SAR,,165.59,,175.05,170.51,2021.06.09 17:13:24,
SAR,,165.59,,175.07,170.51,2021.06.09 17:12:16,
SAR,,165.59,,175.07,170.51,2021.06.09 17:11:37,
SAR,,165.59,,175.07,170.51,2021.06.09 17:09:11,
SAR,,165.59,,175.05,170.51,2021.06.09 16:46:20,
SAR,,165.59,,175.07,170.51,2021.06.09 16:40:42,
SAR,,165.59,,175.07,170.51,2021.06.09 16:37:36,
SAR,,165.6,,175.08,170.51,2021.06.09 16:37:05,
SAR,,165.62,,175.1,170.51,2021.06.09 16:31:21,
