Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
SEK,77.05,74.67,77.67,78.04,77.31,2021.06.09 23:42:44,
SEK,77.05,74.67,77.67,78.04,77.31,2021.06.09 23:42:44,
SEK,77.05,74.67,77.67,78.04,77.31,2021.06.09 23:42:44,
SEK,77.03,74.65,77.65,78.02,77.31,2021.06.09 23:32:17,
SEK,76.98,74.6,77.6,77.97,77.31,2021.06.09 23:00:39,
SEK,76.96,74.58,77.58,77.95,77.31,2021.06.09 22:51:56,
SEK,77,74.62,77.62,77.99,77.31,2021.06.09 22:48:47,
SEK,76.99,74.61,77.61,77.98,77.31,2021.06.09 22:38:03,
SEK,77.09,74.71,77.71,78.08,77.31,2021.06.09 22:04:31,
SEK,77.15,74.77,77.77,78.14,77.31,2021.06.09 21:44:48,
SEK,77.21,74.83,77.83,78.2,77.31,2021.06.09 21:36:16,
SEK,77.21,74.83,77.83,78.2,77.31,2021.06.09 21:31:36,
SEK,77.2,74.82,77.82,78.19,77.31,2021.06.09 21:31:25,
SEK,77.2,74.82,77.82,78.19,77.31,2021.06.09 21:28:29,
SEK,77.1,74.72,77.72,78.09,77.31,2021.06.09 20:15:04,
SEK,77.07,74.69,77.69,78.06,77.31,2021.06.09 19:45:41,
SEK,77.08,74.7,77.7,78.07,77.31,2021.06.09 19:29:25,
SEK,77.06,74.68,77.68,78.05,77.31,2021.06.09 18:21:24,
SEK,77.06,74.68,77.68,78.05,77.31,2021.06.09 18:18:43,
SEK,77.06,74.68,77.68,78.05,77.31,2021.06.09 18:10:36,
SEK,77.07,74.69,77.69,78.06,77.31,2021.06.09 17:59:38,
SEK,77.07,74.69,77.69,78.06,77.31,2021.06.09 17:58:29,
SEK,77.05,74.67,77.67,78.04,77.31,2021.06.09 17:54:03,
SEK,77.03,74.65,77.65,78.02,77.31,2021.06.09 17:51:27,
SEK,77.04,74.66,77.66,78.03,77.31,2021.06.09 17:49:21,
SEK,77.03,74.65,77.65,78.02,77.31,2021.06.09 17:47:23,
SEK,77.05,74.67,77.67,78.04,77.31,2021.06.09 17:33:07,
SEK,77.04,74.66,77.66,78.03,77.31,2021.06.09 17:28:23,
SEK,77.03,74.65,77.65,78.02,77.31,2021.06.09 17:21:56,
SEK,77.02,74.64,77.64,78.01,77.31,2021.06.09 17:19:20,
SEK,77.01,74.63,77.63,78,77.31,2021.06.09 17:17:12,
SEK,77,74.62,77.62,77.99,77.31,2021.06.09 17:13:24,
SEK,76.99,74.61,77.61,77.98,77.31,2021.06.09 17:12:16,
SEK,76.99,74.61,77.61,77.98,77.31,2021.06.09 17:11:37,
SEK,76.97,74.59,77.59,77.96,77.31,2021.06.09 17:09:11,
SEK,76.95,74.58,77.57,77.94,77.31,2021.06.09 16:46:20,
SEK,76.94,74.57,77.56,77.93,77.31,2021.06.09 16:40:42,
SEK,76.95,74.58,77.57,77.94,77.31,2021.06.09 16:37:36,
SEK,76.94,74.57,77.56,77.93,77.31,2021.06.09 16:37:05,
SEK,76.93,74.56,77.55,77.92,77.31,2021.06.09 16:31:21,
SEK,76.96,74.58,77.58,77.95,77.31,2021.06.09 16:29:58,
SEK,76.96,74.58,77.58,77.95,77.31,2021.06.09 16:29:48,
SEK,76.98,74.6,77.6,77.97,77.31,2021.06.09 16:29:04,
SEK,76.96,74.58,77.58,77.95,77.31,2021.06.09 16:26:24,
SEK,77,74.62,77.62,77.99,77.31,2021.06.09 16:23:05,
SEK,76.99,74.61,77.61,77.98,77.31,2021.06.09 16:18:56,
SEK,76.97,74.59,77.59,77.96,77.31,2021.06.09 16:17:11,
SEK,76.97,74.59,77.59,77.96,77.31,2021.06.09 16:14:11,
SEK,76.98,74.6,77.6,77.97,77.31,2021.06.09 16:11:56,
SEK,76.97,74.59,77.59,77.96,77.31,2021.06.09 16:10:24,
SEK,76.94,74.57,77.56,77.93,77.31,2021.06.09 16:05:22,
SEK,76.94,74.57,77.56,77.93,77.31,2021.06.09 16:02:51,
SEK,76.96,74.58,77.58,77.95,77.31,2021.06.09 15:59:55,
SEK,76.93,74.56,77.55,77.92,77.31,2021.06.09 15:56:33,
SEK,76.93,74.56,77.55,77.92,77.31,2021.06.09 15:56:21,
SEK,76.92,74.55,77.54,77.91,77.31,2021.06.09 15:53:41,
SEK,76.92,74.55,77.54,77.91,77.31,2021.06.09 15:51:44,
SEK,76.91,74.54,77.53,77.9,77.31,2021.06.09 15:49:45,
SEK,76.9,74.53,77.52,77.89,77.31,2021.06.09 15:48:57,
SEK,76.92,74.55,77.54,77.91,77.31,2021.06.09 15:46:59,
SEK,76.93,74.56,77.55,77.92,77.31,2021.06.09 15:45:03,
SEK,76.92,74.55,77.54,77.91,77.31,2021.06.09 15:43:56,
SEK,76.91,74.54,77.53,77.9,77.31,2021.06.09 15:40:37,
SEK,76.92,74.55,77.54,77.91,77.31,2021.06.09 15:40:03,
SEK,76.97,74.59,77.59,77.96,77.31,2021.06.09 15:29:58,
SEK,76.99,74.61,77.61,77.98,77.31,2021.06.09 15:17:10,
SEK,76.99,74.61,77.61,77.98,77.31,2021.06.09 15:16:49,
SEK,76.97,74.59,77.59,77.96,77.31,2021.06.09 15:10:20,
SEK,77,74.62,77.62,77.99,77.31,2021.06.09 15:06:14,
SEK,77,74.62,77.62,77.99,77.31,2021.06.09 15:02:58,
SEK,76.98,74.6,77.6,77.97,77.31,2021.06.09 14:59:16,
SEK,76.99,74.61,77.61,77.98,77.31,2021.06.09 14:57:26,
SEK,77.02,74.64,77.64,78.01,77.31,2021.06.09 14:46:48,
