Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
SGD,480.49,465.67,483.87,486.28,483.04,2021.06.09 23:42:44,
SGD,480.49,465.67,483.87,486.28,483.04,2021.06.09 23:42:44,
SGD,480.49,465.67,483.87,486.28,483.04,2021.06.09 23:42:44,
SGD,480.38,465.56,483.76,486.17,483.04,2021.06.09 23:32:17,
SGD,480.42,465.6,483.8,486.21,483.04,2021.06.09 23:00:39,
SGD,480.42,465.6,483.8,486.21,483.04,2021.06.09 22:51:56,
SGD,480.49,465.67,483.87,486.28,483.04,2021.06.09 22:48:47,
SGD,480.34,465.52,483.72,486.13,483.04,2021.06.09 22:38:03,
SGD,480.96,466.12,484.34,486.75,483.04,2021.06.09 22:04:31,
SGD,481.14,466.29,484.52,486.93,483.04,2021.06.09 21:44:48,
SGD,481.18,466.33,484.56,486.97,483.04,2021.06.09 21:36:16,
SGD,481.18,466.33,484.56,486.97,483.04,2021.06.09 21:31:36,
SGD,481.18,466.33,484.56,486.97,483.04,2021.06.09 21:31:25,
SGD,481.15,466.3,484.53,486.94,483.04,2021.06.09 21:28:29,
SGD,480.96,466.12,484.34,486.75,483.04,2021.06.09 20:15:04,
SGD,480.89,466.05,484.27,486.68,483.04,2021.06.09 19:45:41,
SGD,480.82,465.98,484.2,486.61,483.04,2021.06.09 19:29:25,
SGD,480.82,465.98,484.2,486.61,483.04,2021.06.09 18:21:24,
SGD,480.85,466.01,484.23,486.64,483.04,2021.06.09 18:18:43,
SGD,480.78,465.95,484.16,486.57,483.04,2021.06.09 18:10:36,
SGD,480.85,466.01,484.23,486.64,483.04,2021.06.09 17:59:38,
SGD,480.82,465.98,484.2,486.61,483.04,2021.06.09 17:58:29,
SGD,480.82,465.98,484.2,486.61,483.04,2021.06.09 17:54:03,
SGD,480.78,465.95,484.16,486.57,483.04,2021.06.09 17:51:27,
SGD,480.78,465.95,484.16,486.57,483.04,2021.06.09 17:49:21,
SGD,480.82,465.98,484.2,486.61,483.04,2021.06.09 17:47:23,
SGD,480.89,466.05,484.27,486.68,483.04,2021.06.09 17:33:07,
SGD,480.93,466.09,484.31,486.72,483.04,2021.06.09 17:28:23,
SGD,480.93,466.09,484.31,486.72,483.04,2021.06.09 17:21:56,
SGD,480.93,466.09,484.31,486.72,483.04,2021.06.09 17:19:20,
SGD,480.9,466.06,484.28,486.69,483.04,2021.06.09 17:17:12,
SGD,480.9,466.06,484.28,486.69,483.04,2021.06.09 17:13:24,
SGD,480.93,466.09,484.31,486.72,483.04,2021.06.09 17:12:16,
SGD,480.93,466.09,484.31,486.72,483.04,2021.06.09 17:11:37,
