Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 23:42:44,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 23:42:44,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 23:42:44,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 23:32:17,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 23:00:39,
THB,20.41,19.78,20.57,21.22,20.5,2021.06.09 22:51:56,
THB,20.41,19.78,20.57,21.22,20.5,2021.06.09 22:48:47,
THB,20.41,19.78,20.57,21.22,20.5,2021.06.09 22:38:03,
THB,20.41,19.78,20.57,21.22,20.5,2021.06.09 22:04:31,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 21:44:48,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 21:36:16,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 21:31:36,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 21:31:25,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 21:28:29,
THB,20.41,19.78,20.57,21.22,20.5,2021.06.09 20:15:04,
THB,20.41,19.78,20.57,21.22,20.5,2021.06.09 19:45:41,
THB,20.41,19.78,20.57,21.22,20.5,2021.06.09 19:29:25,
THB,20.41,19.78,20.57,21.22,20.5,2021.06.09 18:21:24,
THB,20.41,19.78,20.57,21.22,20.5,2021.06.09 18:18:43,
THB,20.41,19.78,20.57,21.22,20.5,2021.06.09 18:10:36,
THB,20.41,19.78,20.57,21.22,20.5,2021.06.09 17:59:38,
THB,20.41,19.78,20.57,21.22,20.5,2021.06.09 17:58:29,
THB,20.41,19.78,20.57,21.22,20.5,2021.06.09 17:54:03,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 17:51:27,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 17:49:21,
THB,20.43,19.8,20.59,21.24,20.5,2021.06.09 17:47:23,
THB,20.43,19.8,20.59,21.24,20.5,2021.06.09 17:33:07,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 17:28:23,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 17:21:56,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 17:19:20,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 17:17:12,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 17:13:24,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 17:12:16,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 17:11:37,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 17:09:11,
THB,20.42,19.79,20.58,21.23,20.5,2021.06.09 16:46:20,
THB,20.43,19.8,20.59,21.24,20.5,2021.06.09 16:40:42,
THB,20.43,19.8,20.59,21.24,20.5,2021.06.09 16:37:36,
THB,20.43,19.8,20.59,21.24,20.5,2021.06.09 16:37:05,
THB,20.43,19.8,20.59,21.24,20.5,2021.06.09 16:31:21,
