Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
TRY,74.05,70.42,74.65,85.71,74.34,2021.06.09 23:42:44,
TRY,74.05,70.42,74.65,85.71,74.34,2021.06.09 23:42:44,
TRY,74.05,70.42,74.65,85.71,74.34,2021.06.09 23:42:44,
TRY,74.01,70.39,74.61,85.66,74.34,2021.06.09 23:32:17,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 23:00:39,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 22:51:56,
TRY,74.08,70.45,74.68,85.75,74.34,2021.06.09 22:48:47,
TRY,74.06,70.43,74.66,85.72,74.34,2021.06.09 22:38:03,
TRY,74.13,70.5,74.73,85.8,74.34,2021.06.09 22:04:31,
TRY,74.15,70.52,74.75,85.83,74.34,2021.06.09 21:44:48,
TRY,74.14,70.51,74.74,85.81,74.34,2021.06.09 21:36:16,
TRY,74.12,70.49,74.72,85.79,74.34,2021.06.09 21:31:36,
TRY,74.15,70.52,74.75,85.83,74.34,2021.06.09 21:31:25,
TRY,74.13,70.5,74.73,85.8,74.34,2021.06.09 21:28:29,
TRY,74.15,70.52,74.75,85.83,74.34,2021.06.09 20:15:04,
TRY,74.09,70.46,74.69,85.76,74.34,2021.06.09 19:45:41,
TRY,74.1,70.47,74.7,85.77,74.34,2021.06.09 19:29:25,
TRY,74.15,70.52,74.75,85.83,74.34,2021.06.09 18:21:24,
TRY,74.17,70.54,74.77,85.85,74.34,2021.06.09 18:18:43,
TRY,74.11,70.48,74.71,85.78,74.34,2021.06.09 18:10:36,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 17:59:38,
TRY,74.06,70.43,74.66,85.72,74.34,2021.06.09 17:58:29,
TRY,74.06,70.43,74.66,85.72,74.34,2021.06.09 17:54:03,
TRY,74.06,70.43,74.66,85.72,74.34,2021.06.09 17:51:27,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 17:49:21,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 17:47:23,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 17:33:07,
TRY,74.02,70.4,74.62,85.68,74.34,2021.06.09 17:28:23,
TRY,74.04,70.41,74.64,85.7,74.34,2021.06.09 17:21:56,
TRY,74.04,70.41,74.64,85.7,74.34,2021.06.09 17:19:20,
TRY,74.04,70.41,74.64,85.7,74.34,2021.06.09 17:17:12,
TRY,74.04,70.41,74.64,85.7,74.34,2021.06.09 17:13:24,
TRY,74.04,70.41,74.64,85.7,74.34,2021.06.09 17:12:16,
TRY,74.05,70.42,74.65,85.71,74.34,2021.06.09 17:11:37,
TRY,74.06,70.43,74.66,85.72,74.34,2021.06.09 17:09:11,
TRY,74.15,70.52,74.75,85.83,74.34,2021.06.09 16:46:20,
TRY,74.12,70.49,74.72,85.79,74.34,2021.06.09 16:40:42,
TRY,74.1,70.47,74.7,85.77,74.34,2021.06.09 16:37:36,
TRY,74.1,70.47,74.7,85.77,74.34,2021.06.09 16:37:05,
TRY,74.12,70.49,74.72,85.79,74.34,2021.06.09 16:31:21,
