Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
ZAR,46.56,42.99,46.88,50.54,47.12,2021.06.09 23:42:44,
ZAR,46.56,42.99,46.88,50.54,47.12,2021.06.09 23:42:44,
ZAR,46.56,42.99,46.88,50.54,47.12,2021.06.09 23:42:44,
ZAR,46.52,42.95,46.84,50.49,47.12,2021.06.09 23:32:17,
ZAR,46.66,43.08,46.98,50.65,47.12,2021.06.09 23:00:39,
ZAR,46.63,43.05,46.95,50.61,47.12,2021.06.09 22:51:56,
ZAR,46.65,43.07,46.97,50.63,47.12,2021.06.09 22:48:47,
ZAR,46.63,43.05,46.95,50.61,47.12,2021.06.09 22:38:03,
ZAR,46.85,43.25,47.17,50.85,47.12,2021.06.09 22:04:31,
ZAR,46.87,43.27,47.19,50.87,47.12,2021.06.09 21:44:48,
ZAR,46.95,43.35,47.27,50.96,47.12,2021.06.09 21:36:16,
ZAR,46.96,43.36,47.28,50.97,47.12,2021.06.09 21:31:36,
ZAR,46.96,43.36,47.28,50.97,47.12,2021.06.09 21:31:25,
ZAR,46.98,43.37,47.3,50.99,47.12,2021.06.09 21:28:29,
ZAR,46.95,43.35,47.27,50.96,47.12,2021.06.09 20:15:04,
ZAR,46.97,43.36,47.29,50.98,47.12,2021.06.09 19:45:41,
ZAR,46.95,43.35,47.27,50.96,47.12,2021.06.09 19:29:25,
ZAR,47,43.39,47.32,51.01,47.12,2021.06.09 18:21:24,
ZAR,46.97,43.36,47.29,50.98,47.12,2021.06.09 18:18:43,
ZAR,46.95,43.35,47.27,50.96,47.12,2021.06.09 18:10:36,
ZAR,46.91,43.31,47.23,50.92,47.12,2021.06.09 17:59:38,
ZAR,46.92,43.32,47.24,50.93,47.12,2021.06.09 17:58:29,
ZAR,46.91,43.31,47.23,50.92,47.12,2021.06.09 17:54:03,
ZAR,46.9,43.3,47.22,50.9,47.12,2021.06.09 17:51:27,
ZAR,46.92,43.32,47.24,50.93,47.12,2021.06.09 17:49:21,
ZAR,46.92,43.32,47.24,50.93,47.12,2021.06.09 17:47:23,
ZAR,46.92,43.32,47.24,50.93,47.12,2021.06.09 17:33:07,
ZAR,46.92,43.32,47.24,50.93,47.12,2021.06.09 17:28:23,
ZAR,46.92,43.32,47.24,50.93,47.12,2021.06.09 17:21:56,
ZAR,46.92,43.32,47.24,50.93,47.12,2021.06.09 17:19:20,
ZAR,46.92,43.32,47.24,50.93,47.12,2021.06.09 17:17:12,
ZAR,46.91,43.31,47.23,50.92,47.12,2021.06.09 17:13:24,
ZAR,46.91,43.31,47.23,50.92,47.12,2021.06.09 17:12:16,
ZAR,46.91,43.31,47.23,50.92,47.12,2021.06.09 17:11:37,
ZAR,46.91,43.31,47.23,50.92,47.12,2021.06.09 17:09:11,
ZAR,46.97,43.36,47.29,50.98,47.12,2021.06.09 16:46:20,
ZAR,46.99,43.38,47.31,51,47.12,2021.06.09 16:40:42,
ZAR,47,43.39,47.32,51.01,47.12,2021.06.09 16:37:36,
ZAR,46.99,43.38,47.31,51,47.12,2021.06.09 16:37:05,
ZAR,46.99,43.38,47.31,51,47.12,2021.06.09 16:31:21,
