Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
AUD,492.27,476.97,495.89,498.09,494.89,2021.06.09 23:42:44,
AUD,492.27,476.97,495.89,498.09,494.89,2021.06.09 23:42:44,
AUD,492.27,476.97,495.89,498.09,494.89,2021.06.09 23:42:44,
AUD,492.08,476.79,495.7,497.9,494.89,2021.06.09 23:32:17,
AUD,492.02,476.73,495.64,497.84,494.89,2021.06.09 23:00:39,
AUD,491.88,476.6,495.5,497.69,494.89,2021.06.09 22:51:56,
AUD,492.13,476.84,495.75,497.95,494.89,2021.06.09 22:48:47,
AUD,491.98,476.69,495.6,497.8,494.89,2021.06.09 22:38:03,
AUD,493.25,477.92,496.87,499.08,494.89,2021.06.09 22:04:31,
AUD,493.85,478.51,497.49,499.69,494.89,2021.06.09 21:44:48,
AUD,493.91,478.57,497.55,499.75,494.89,2021.06.09 21:36:16,
AUD,493.85,478.51,497.49,499.69,494.89,2021.06.09 21:31:36,
AUD,493.95,478.61,497.59,499.79,494.89,2021.06.09 21:31:25,
AUD,493.88,478.54,497.52,499.72,494.89,2021.06.09 21:28:29,
AUD,493.45,478.11,497.08,499.28,494.89,2021.06.09 20:15:04,
AUD,493.19,477.86,496.81,499.02,494.89,2021.06.09 19:45:41,
AUD,493.32,477.99,496.94,499.15,494.89,2021.06.09 19:29:25,
AUD,493.06,477.74,496.68,498.88,494.89,2021.06.09 18:21:24,
AUD,493.06,477.74,496.68,498.88,494.89,2021.06.09 18:18:43,
AUD,493.13,477.8,496.75,498.96,494.89,2021.06.09 18:10:36,
AUD,493.1,477.78,496.72,498.93,494.89,2021.06.09 17:59:38,
AUD,493.1,477.78,496.72,498.93,494.89,2021.06.09 17:58:29,
AUD,492.98,477.66,496.6,498.8,494.89,2021.06.09 17:54:03,
AUD,492.89,477.57,496.51,498.71,494.89,2021.06.09 17:51:27,
AUD,492.99,477.67,496.61,498.81,494.89,2021.06.09 17:49:21,
AUD,492.93,477.61,496.55,498.75,494.89,2021.06.09 17:47:23,
AUD,493.18,477.85,496.8,499.01,494.89,2021.06.09 17:33:07,
AUD,493.19,477.86,496.81,499.02,494.89,2021.06.09 17:28:23,
AUD,493.28,477.95,496.9,499.11,494.89,2021.06.09 17:21:56,
AUD,493.22,477.89,496.84,499.05,494.89,2021.06.09 17:19:20,
AUD,493.16,477.83,496.78,498.99,494.89,2021.06.09 17:17:12,
AUD,493.09,477.77,496.71,498.92,494.89,2021.06.09 17:13:24,
AUD,493.13,477.8,496.75,498.96,494.89,2021.06.09 17:12:16,
AUD,493.13,477.8,496.75,498.96,494.89,2021.06.09 17:11:37,
AUD,492.94,477.62,496.56,498.76,494.89,2021.06.09 17:09:11,
AUD,493.22,477.89,496.84,499.05,494.89,2021.06.09 16:46:20,
AUD,493.32,477.99,496.94,499.15,494.89,2021.06.09 16:40:42,
AUD,493.32,477.99,496.94,499.15,494.89,2021.06.09 16:37:36,
AUD,493.3,477.97,496.92,499.13,494.89,2021.06.09 16:37:05,
AUD,493.4,478.07,497.02,499.23,494.89,2021.06.09 16:31:21,
AUD,493.4,478.07,497.02,499.23,494.89,2021.06.09 16:29:58,
AUD,493.37,478.04,496.99,499.2,494.89,2021.06.09 16:29:48,
AUD,493.41,478.08,497.03,499.24,494.89,2021.06.09 16:29:04,
AUD,493.48,478.14,497.11,499.31,494.89,2021.06.09 16:26:24,
AUD,493.75,478.4,497.38,499.58,494.89,2021.06.09 16:23:05,
AUD,493.75,478.4,497.38,499.58,494.89,2021.06.09 16:18:56,
AUD,493.62,478.28,497.25,499.45,494.89,2021.06.09 16:17:11,
AUD,493.68,478.34,497.31,499.51,494.89,2021.06.09 16:14:11,
AUD,493.75,478.4,497.38,499.58,494.89,2021.06.09 16:11:56,
AUD,493.71,478.36,497.34,499.54,494.89,2021.06.09 16:10:24,
AUD,493.55,478.21,497.18,499.38,494.89,2021.06.09 16:05:22,
AUD,493.47,478.13,497.1,499.3,494.89,2021.06.09 16:02:51,
AUD,493.5,478.16,497.13,499.33,494.89,2021.06.09 15:59:55,
AUD,493.54,478.2,497.17,499.37,494.89,2021.06.09 15:56:33,
AUD,493.52,478.18,497.15,499.35,494.89,2021.06.09 15:56:21,
AUD,493.62,478.28,497.25,499.45,494.89,2021.06.09 15:53:41,
AUD,493.62,478.28,497.25,499.45,494.89,2021.06.09 15:51:44,
AUD,493.56,478.22,497.19,499.39,494.89,2021.06.09 15:49:45,
AUD,493.58,478.24,497.21,499.41,494.89,2021.06.09 15:48:57,
AUD,493.54,478.2,497.17,499.37,494.89,2021.06.09 15:46:59,
AUD,493.54,478.2,497.17,499.37,494.89,2021.06.09 15:45:03,
AUD,493.5,478.16,497.13,499.33,494.89,2021.06.09 15:43:56,
AUD,493.59,478.25,497.22,499.42,494.89,2021.06.09 15:40:37,
AUD,493.59,478.25,497.22,499.42,494.89,2021.06.09 15:40:03,
AUD,493.79,478.44,497.42,499.62,494.89,2021.06.09 15:29:58,
AUD,493.79,478.44,497.42,499.62,494.89,2021.06.09 15:17:10,
AUD,493.76,478.41,497.39,499.59,494.89,2021.06.09 15:16:49,
