Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
EUR,775.9,751.79,781.62,784.13,778.49,2021.06.09 23:42:44,
EUR,775.9,751.79,781.62,784.13,778.49,2021.06.09 23:42:44,
EUR,775.9,751.79,781.62,784.13,778.49,2021.06.09 23:42:44,
EUR,775.65,751.55,781.37,783.88,778.49,2021.06.09 23:32:17,
EUR,775.65,751.55,781.37,783.88,778.49,2021.06.09 23:00:39,
EUR,775.53,751.43,781.25,783.76,778.49,2021.06.09 22:51:56,
EUR,775.85,751.74,781.57,784.08,778.49,2021.06.09 22:48:47,
EUR,775.79,751.68,781.51,784.02,778.49,2021.06.09 22:38:03,
EUR,777,752.86,782.73,785.25,778.49,2021.06.09 22:04:31,
EUR,777.11,752.97,782.84,785.36,778.49,2021.06.09 21:44:48,
EUR,777.43,753.28,783.16,785.68,778.49,2021.06.09 21:36:16,
EUR,777.5,753.34,783.23,785.75,778.49,2021.06.09 21:31:36,
EUR,777.49,753.33,783.22,785.74,778.49,2021.06.09 21:31:25,
EUR,777.3,753.15,783.03,785.55,778.49,2021.06.09 21:28:29,
EUR,776.16,752.04,781.88,784.39,778.49,2021.06.09 20:15:04,
EUR,776.29,752.16,782.01,784.53,778.49,2021.06.09 19:45:41,
EUR,776.1,751.98,781.82,784.33,778.49,2021.06.09 19:29:25,
EUR,776.03,751.91,781.75,784.26,778.49,2021.06.09 18:21:24,
EUR,775.97,751.86,781.69,784.2,778.49,2021.06.09 18:18:43,
EUR,775.91,751.8,781.63,784.14,778.49,2021.06.09 18:10:36,
EUR,776.03,751.91,781.75,784.26,778.49,2021.06.09 17:59:38,
EUR,775.97,751.86,781.69,784.2,778.49,2021.06.09 17:58:29,
EUR,775.97,751.86,781.69,784.2,778.49,2021.06.09 17:54:03,
EUR,775.84,751.73,781.56,784.07,778.49,2021.06.09 17:51:27,
EUR,775.9,751.79,781.62,784.13,778.49,2021.06.09 17:49:21,
EUR,775.9,751.79,781.62,784.13,778.49,2021.06.09 17:47:23,
EUR,776.09,751.97,781.81,784.32,778.49,2021.06.09 17:33:07,
EUR,776.08,751.96,781.8,784.31,778.49,2021.06.09 17:28:23,
EUR,776.02,751.9,781.74,784.25,778.49,2021.06.09 17:21:56,
EUR,776.02,751.9,781.74,784.25,778.49,2021.06.09 17:19:20,
EUR,776.02,751.9,781.74,784.25,778.49,2021.06.09 17:17:12,
EUR,775.89,751.78,781.61,784.12,778.49,2021.06.09 17:13:24,
EUR,775.89,751.78,781.61,784.12,778.49,2021.06.09 17:12:16,
EUR,775.89,751.78,781.61,784.12,778.49,2021.06.09 17:11:37,
EUR,775.76,751.65,781.48,783.99,778.49,2021.06.09 17:09:11,
EUR,776.02,751.9,781.74,784.25,778.49,2021.06.09 16:46:20,
EUR,775.96,751.85,781.68,784.19,778.49,2021.06.09 16:40:42,
EUR,776.02,751.9,781.74,784.25,778.49,2021.06.09 16:37:36,
EUR,776.02,751.9,781.74,784.25,778.49,2021.06.09 16:37:05,
EUR,776.01,751.89,781.73,784.24,778.49,2021.06.09 16:31:21,
EUR,776.21,752.09,781.93,784.44,778.49,2021.06.09 16:29:58,
EUR,776.2,752.08,781.92,784.43,778.49,2021.06.09 16:29:48,
EUR,776.26,752.14,781.98,784.5,778.49,2021.06.09 16:29:04,
EUR,776.26,752.14,781.98,784.5,778.49,2021.06.09 16:26:24,
EUR,776.5,752.38,782.23,784.75,778.49,2021.06.09 16:23:05,
EUR,776.44,752.32,782.17,784.69,778.49,2021.06.09 16:18:56,
EUR,776.39,752.26,782.11,784.63,778.49,2021.06.09 16:17:11,
EUR,776.39,752.26,782.11,784.63,778.49,2021.06.09 16:14:11,
EUR,776.44,752.32,782.17,784.69,778.49,2021.06.09 16:11:56,
EUR,776.32,752.19,782.04,784.56,778.49,2021.06.09 16:10:24,
EUR,776.13,752.01,781.85,784.36,778.49,2021.06.09 16:05:22,
EUR,776.06,751.94,781.78,784.29,778.49,2021.06.09 16:02:51,
EUR,776.19,752.07,781.91,784.42,778.49,2021.06.09 15:59:55,
EUR,776.12,752,781.84,784.35,778.49,2021.06.09 15:56:33,
EUR,776.18,752.06,781.9,784.41,778.49,2021.06.09 15:56:21,
EUR,776.24,752.12,781.96,784.48,778.49,2021.06.09 15:53:41,
EUR,776.18,752.06,781.9,784.41,778.49,2021.06.09 15:51:44,
EUR,776.18,752.06,781.9,784.41,778.49,2021.06.09 15:49:45,
EUR,776.05,751.93,781.77,784.28,778.49,2021.06.09 15:48:57,
EUR,776.06,751.94,781.78,784.29,778.49,2021.06.09 15:46:59,
EUR,775.99,751.88,781.71,784.22,778.49,2021.06.09 15:45:03,
EUR,775.93,751.82,781.65,784.16,778.49,2021.06.09 15:43:56,
EUR,775.81,751.7,781.53,784.04,778.49,2021.06.09 15:40:37,
EUR,775.93,751.82,781.65,784.16,778.49,2021.06.09 15:40:03,
EUR,776.13,752.01,781.85,784.36,778.49,2021.06.09 15:29:58,
EUR,776.13,752.01,781.85,784.36,778.49,2021.06.09 15:17:10,
EUR,776.12,752,781.84,784.35,778.49,2021.06.09 15:16:49,
EUR,775.86,751.75,781.58,784.09,778.49,2021.06.09 15:10:20,
EUR,776,751.88,781.72,784.23,778.49,2021.06.09 15:06:14,
EUR,776.06,751.94,781.78,784.29,778.49,2021.06.09 15:02:58,
EUR,776,751.88,781.72,784.23,778.49,2021.06.09 14:59:16,
EUR,776.05,751.93,781.77,784.28,778.49,2021.06.09 14:57:26,
EUR,776.18,752.06,781.9,784.41,778.49,2021.06.09 14:46:48,
EUR,776.37,752.24,782.09,784.61,778.49,2021.06.09 14:46:37,
EUR,776.31,752.18,782.03,784.55,778.49,2021.06.09 14:45:44,
EUR,776.25,752.13,781.97,784.49,778.49,2021.06.09 14:44:57,
EUR,776.25,752.13,781.97,784.49,778.49,2021.06.09 14:17:25,
EUR,776.18,752.06,781.9,784.41,778.49,2021.06.09 14:14:35,
EUR,776.24,752.12,781.96,784.48,778.49,2021.06.09 14:02:40,
EUR,776.3,752.17,782.02,784.54,778.49,2021.06.09 14:02:29,
EUR,776.17,752.05,781.89,784.4,778.49,2021.06.09 13:57:03,
EUR,776.04,751.92,781.76,784.27,778.49,2021.06.09 13:51:12,
EUR,776.24,752.12,781.96,784.48,778.49,2021.06.09 13:45:19,
EUR,776.17,752.05,781.89,784.4,778.49,2021.06.09 13:38:48,
EUR,776.18,752.06,781.9,784.41,778.49,2021.06.09 13:23:13,
EUR,776.24,752.12,781.96,784.48,778.49,2021.06.09 13:09:13,
EUR,776.11,751.99,781.83,784.34,778.49,2021.06.09 12:51:03,
EUR,776.12,752,781.84,784.35,778.49,2021.06.09 12:15:56,
EUR,776.11,751.99,781.83,784.34,778.49,2021.06.09 12:06:43,
EUR,776.18,752.06,781.9,784.41,778.49,2021.06.09 11:51:26,
EUR,776.42,752.3,782.15,784.67,778.49,2021.06.09 11:45:01,
EUR,776.48,752.36,782.21,784.73,778.49,2021.06.09 11:34:26,
EUR,776.42,752.3,782.15,784.67,778.49,2021.06.09 11:30:30,
EUR,776.37,752.24,782.09,784.61,778.49,2021.06.09 11:27:51,
EUR,776.48,752.36,782.21,784.73,778.49,2021.06.09 11:21:45,
EUR,776.42,752.3,782.15,784.67,778.49,2021.06.09 11:20:53,
EUR,776.43,752.31,782.16,784.68,778.49,2021.06.09 11:19:38,
EUR,776.49,752.37,782.22,784.74,778.49,2021.06.09 11:17:49,
EUR,776.37,752.24,782.09,784.61,778.49,2021.06.09 11:15:47,
EUR,776.48,752.36,782.21,784.73,778.49,2021.06.09 11:07:08,
EUR,776.55,752.43,782.28,784.8,778.49,2021.06.09 11:03:03,
EUR,776.55,752.43,782.28,784.8,778.49,2021.06.09 11:01:20,
EUR,776.55,752.43,782.28,784.8,778.49,2021.06.09 10:59:51,
EUR,776.55,752.43,782.28,784.8,778.49,2021.06.09 10:57:56,
EUR,776.61,752.48,782.34,784.86,778.49,2021.06.09 10:56:57,
EUR,776.54,752.42,782.27,784.79,778.49,2021.06.09 10:56:16,
EUR,776.41,752.29,782.14,784.66,778.49,2021.06.09 10:53:45,
EUR,776.41,752.29,782.14,784.66,778.49,2021.06.09 10:50:55,
EUR,776.41,752.29,782.14,784.66,778.49,2021.06.09 10:44:32,
EUR,776.41,752.29,782.14,784.66,778.49,2021.06.09 10:38:23,
EUR,776.41,752.29,782.14,784.66,778.49,2021.06.09 10:37:38,
EUR,776.47,752.35,782.2,784.72,778.49,2021.06.09 10:30:00,
EUR,776.47,752.35,782.2,784.72,778.49,2021.06.09 10:30:00,
EUR,776.47,752.35,782.2,784.72,778.49,2021.06.09 10:30:00,
EUR,776.47,752.35,782.2,784.72,778.49,2021.06.09 10:24:21,
EUR,776.53,752.41,782.26,784.78,778.49,2021.06.09 10:22:02,
EUR,776.66,752.53,782.39,784.91,778.49,2021.06.09 10:12:48,
EUR,776.53,752.41,782.26,784.78,778.49,2021.06.09 10:11:11,
EUR,776.53,752.41,782.26,784.78,778.49,2021.06.09 10:11:11,
EUR,776.53,752.41,782.26,784.78,778.49,2021.06.09 10:10:24,
EUR,776.53,752.41,782.26,784.78,778.49,2021.06.09 10:10:24,
EUR,776.53,752.41,782.26,784.78,778.49,2021.06.09 09:59:32,
EUR,776.53,752.41,782.26,784.78,778.49,2021.06.09 09:56:28,
EUR,776.53,752.41,782.26,784.78,778.49,2021.06.09 09:55:05,
EUR,776.47,752.35,782.2,784.72,778.49,2021.06.09 09:52:31,
EUR,776.41,752.29,782.14,784.66,778.49,2021.06.09 09:51:04,
EUR,776.41,752.29,782.14,784.66,778.49,2021.06.09 09:46:21,
EUR,776.29,752.16,782.01,784.53,778.49,2021.06.09 09:43:19,
EUR,776.17,752.05,781.89,784.4,778.49,2021.06.09 09:40:44,
EUR,776.11,751.99,781.83,784.34,778.49,2021.06.09 09:39:32,
EUR,776.29,752.16,782.01,784.53,778.49,2021.06.09 09:38:50,
EUR,776.28,752.16,782,784.52,778.49,2021.06.09 09:36:50,
EUR,776.46,752.34,782.19,784.71,778.49,2021.06.09 09:34:59,
EUR,776.35,752.22,782.07,784.59,778.49,2021.06.09 09:34:06,
EUR,776.29,752.16,782.01,784.53,778.49,2021.06.09 09:33:56,
EUR,776.16,752.04,781.88,784.39,778.49,2021.06.09 09:33:05,
EUR,776.28,752.16,782,784.52,778.49,2021.06.09 09:30:31,
EUR,776.54,752.42,782.27,784.79,778.49,2021.06.09 09:28:16,
EUR,776.61,752.48,782.34,784.86,778.49,2021.06.09 09:28:06,
EUR,776.54,752.42,782.27,784.79,778.96,2021.06.09 09:27:03,
EUR,776.61,752.48,782.34,784.86,778.96,2021.06.09 09:13:22,
EUR,776.61,752.48,782.34,784.86,778.96,2021.06.09 09:13:17,
EUR,776.41,752.29,782.14,784.66,778.96,2021.06.09 07:53:36,
EUR,776.41,752.29,782.14,784.66,778.96,2021.06.09 06:45:40,
EUR,776.41,752.29,782.14,784.66,778.96,2021.06.09 06:45:32,
EUR,776.8,752.67,782.53,785.05,778.96,2021.06.09 05:30:00,
EUR,776.8,752.67,782.53,785.05,778.96,2021.06.09 05:30:00,
EUR,776.8,752.67,782.53,785.05,778.96,2021.06.09 05:30:00,
EUR,776.8,752.67,782.53,785.05,778.96,2021.06.09 00:00:05,
EUR,776.8,752.67,782.53,785.05,778.96,2021.06.08 23:22:49,
EUR,776.8,752.67,782.53,785.05,778.96,2021.06.08 23:22:49,
EUR,776.8,752.67,782.53,785.05,778.96,2021.06.08 23:22:49,
EUR,776.99,752.85,782.72,785.24,778.96,2021.06.08 23:04:23,
EUR,777.03,752.89,782.76,785.28,778.96,2021.06.08 23:01:51,
EUR,777.48,753.32,783.21,785.73,778.96,2021.06.08 22:57:21,
EUR,777.29,753.14,783.02,785.54,778.96,2021.06.08 22:09:32,
EUR,776.91,752.77,782.64,785.16,778.96,2021.06.08 22:03:16,
EUR,776.6,752.47,782.33,784.85,778.96,2021.06.08 22:01:40,
EUR,776.79,752.66,782.52,785.04,778.96,2021.06.08 21:57:25,
EUR,776.47,752.35,782.2,784.72,778.96,2021.06.08 21:32:41,
EUR,776.73,752.6,782.46,784.98,778.96,2021.06.08 21:14:52,
EUR,776.6,752.47,782.33,784.85,778.96,2021.06.08 21:08:26,
EUR,776.29,752.16,782.01,784.53,778.96,2021.06.08 20:54:47,
EUR,776.85,752.72,782.58,785.1,778.96,2021.06.08 20:36:15,
EUR,776.79,752.66,782.52,785.04,778.96,2021.06.08 20:26:55,
EUR,776.66,752.53,782.39,784.91,778.96,2021.06.08 20:15:28,
EUR,776.41,752.29,782.14,784.66,778.96,2021.06.08 20:15:24,
EUR,776.41,752.29,782.14,784.66,778.96,2021.06.08 19:22:50,
EUR,776.47,752.35,782.2,784.72,778.96,2021.06.08 18:34:31,
EUR,776.29,752.16,782.01,784.53,778.96,2021.06.08 18:27:48,
EUR,776.47,752.35,782.2,784.72,778.96,2021.06.08 18:18:50,
EUR,776.1,751.98,781.82,784.33,778.96,2021.06.08 17:58:26,
EUR,775.91,751.8,781.63,784.14,778.96,2021.06.08 17:57:47,
EUR,775.98,751.87,781.7,784.21,778.96,2021.06.08 17:45:38,
EUR,775.85,751.74,781.57,784.08,778.96,2021.06.08 17:44:18,
EUR,776.11,751.99,781.83,784.34,778.96,2021.06.08 17:41:38,
EUR,775.98,751.87,781.7,784.21,778.96,2021.06.08 17:39:32,
EUR,776.04,751.92,781.76,784.27,778.96,2021.06.08 17:36:32,
EUR,775.91,751.8,781.63,784.14,778.96,2021.06.08 17:18:55,
EUR,775.92,751.81,781.64,784.15,778.96,2021.06.08 17:08:54,
EUR,776.11,751.99,781.83,784.34,778.96,2021.06.08 17:05:18,
EUR,776.05,751.93,781.77,784.28,778.96,2021.06.08 17:04:43,
EUR,775.86,751.75,781.58,784.09,778.96,2021.06.08 17:02:47,
EUR,775.92,751.81,781.64,784.15,778.96,2021.06.08 17:00:35,
EUR,776.11,751.99,781.83,784.34,778.96,2021.06.08 16:54:57,
EUR,776.17,752.05,781.89,784.4,778.96,2021.06.08 16:50:55,
EUR,776.04,751.92,781.76,784.27,778.96,2021.06.08 16:40:57,
EUR,775.91,751.8,781.63,784.14,778.96,2021.06.08 16:38:56,
EUR,775.79,751.68,781.51,784.02,778.96,2021.06.08 16:33:45,
EUR,775.91,751.8,781.63,784.14,778.96,2021.06.08 16:31:36,
EUR,775.9,751.79,781.62,784.13,778.96,2021.06.08 16:29:08,
EUR,775.84,751.73,781.56,784.07,778.96,2021.06.08 16:27:20,
EUR,775.59,751.49,781.31,783.82,778.96,2021.06.08 16:25:54,
EUR,775.72,751.61,781.44,783.95,778.96,2021.06.08 16:24:43,
EUR,775.79,751.68,781.51,784.02,778.96,2021.06.08 16:23:39,
EUR,775.73,751.62,781.45,783.96,778.96,2021.06.08 16:23:32,
EUR,775.73,751.62,781.45,783.96,778.96,2021.06.08 16:13:23,
EUR,775.6,751.5,781.32,783.83,778.96,2021.06.08 16:09:10,
EUR,775.54,751.44,781.26,783.77,778.96,2021.06.08 16:08:48,
EUR,775.54,751.44,781.26,783.77,778.96,2021.06.08 16:08:27,
EUR,775.66,751.56,781.38,783.89,778.96,2021.06.08 16:06:19,
EUR,775.47,751.37,781.19,783.7,778.96,2021.06.08 16:06:13,
EUR,775.54,751.44,781.26,783.77,778.96,2021.06.08 16:05:05,
EUR,775.55,751.45,781.27,783.78,778.96,2021.06.08 15:58:23,
EUR,775.61,751.51,781.33,783.84,778.96,2021.06.08 15:53:47,
EUR,775.74,751.63,781.46,783.97,778.96,2021.06.08 15:51:15,
EUR,775.67,751.57,781.39,783.9,778.96,2021.06.08 15:46:17,
EUR,775.67,751.57,781.39,783.9,778.96,2021.06.08 15:44:04,
EUR,775.6,751.5,781.32,783.83,778.96,2021.06.08 15:41:25,
EUR,775.6,751.5,781.32,783.83,778.96,2021.06.08 15:37:35,
EUR,775.54,751.44,781.26,783.77,778.96,2021.06.08 15:33:21,
EUR,775.41,751.31,781.13,783.64,778.96,2021.06.08 15:27:58,
EUR,775.41,751.31,781.13,783.64,778.96,2021.06.08 15:26:27,
EUR,775.22,751.13,780.94,783.45,778.96,2021.06.08 15:26:04,
EUR,775.23,751.14,780.95,783.46,778.96,2021.06.08 15:23:45,
EUR,775.29,751.2,781.01,783.52,778.96,2021.06.08 15:21:58,
EUR,775.48,751.38,781.2,783.71,778.96,2021.06.08 15:18:47,
EUR,775.68,751.58,781.4,783.91,778.96,2021.06.08 15:18:03,
EUR,775.55,751.45,781.27,783.78,778.96,2021.06.08 15:17:26,
