Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
GBP,899.06,871.13,905.68,909.69,905,2021.06.09 23:42:44,
GBP,899.06,871.13,905.68,909.69,905,2021.06.09 23:42:44,
GBP,899.06,871.13,905.68,909.69,905,2021.06.09 23:42:44,
GBP,898.81,870.88,905.43,909.44,905,2021.06.09 23:32:17,
GBP,899.06,871.13,905.68,909.69,905,2021.06.09 23:00:39,
GBP,898.54,870.62,905.16,909.16,905,2021.06.09 22:51:56,
GBP,898.67,870.75,905.29,909.29,905,2021.06.09 22:48:47,
GBP,898.45,870.54,905.07,909.07,905,2021.06.09 22:38:03,
GBP,900.04,872.07,906.67,910.68,905,2021.06.09 22:04:31,
GBP,900.71,872.72,907.34,911.35,905,2021.06.09 21:44:48,
GBP,900.9,872.9,907.53,911.54,905,2021.06.09 21:36:16,
GBP,900.96,872.96,907.59,911.6,905,2021.06.09 21:31:36,
GBP,900.97,872.97,907.6,911.61,905,2021.06.09 21:31:25,
GBP,900.72,872.73,907.35,911.36,905,2021.06.09 21:28:29,
GBP,901.98,873.96,908.62,912.64,905,2021.06.09 20:15:04,
GBP,902.17,874.14,908.81,912.83,905,2021.06.09 19:45:41,
GBP,901.92,873.9,908.56,912.58,905,2021.06.09 19:29:25,
GBP,902.49,874.45,909.14,913.16,905,2021.06.09 18:21:24,
GBP,902.49,874.45,909.14,913.16,905,2021.06.09 18:18:43,
GBP,902.56,874.52,909.21,913.23,905,2021.06.09 18:10:36,
GBP,902.31,874.27,908.96,912.97,905,2021.06.09 17:59:38,
GBP,902.25,874.22,908.9,912.91,905,2021.06.09 17:58:29,
GBP,902.31,874.27,908.96,912.97,905,2021.06.09 17:54:03,
GBP,902.25,874.22,908.9,912.91,905,2021.06.09 17:51:27,
GBP,902.13,874.1,908.77,912.79,905,2021.06.09 17:49:21,
GBP,902.07,874.04,908.71,912.73,905,2021.06.09 17:47:23,
GBP,902.9,874.84,909.55,913.57,905,2021.06.09 17:33:07,
GBP,902.91,874.85,909.56,913.58,905,2021.06.09 17:28:23,
GBP,902.91,874.85,909.56,913.58,905,2021.06.09 17:21:56,
GBP,902.84,874.79,909.49,913.51,905,2021.06.09 17:19:20,
GBP,902.97,874.91,909.62,913.64,905,2021.06.09 17:17:12,
GBP,902.91,874.85,909.56,913.58,905,2021.06.09 17:13:24,
GBP,902.91,874.85,909.56,913.58,905,2021.06.09 17:12:16,
GBP,903.04,874.98,909.69,913.71,905,2021.06.09 17:11:37,
GBP,902.78,874.73,909.43,913.45,905,2021.06.09 17:09:11,
GBP,902.52,874.48,909.17,913.19,905,2021.06.09 16:46:20,
GBP,902.98,874.92,909.63,913.65,905,2021.06.09 16:40:42,
GBP,903.17,875.1,909.82,913.84,905,2021.06.09 16:37:36,
GBP,903.11,875.05,909.76,913.78,905,2021.06.09 16:37:05,
GBP,902.99,874.93,909.64,913.66,905,2021.06.09 16:31:21,
GBP,903.12,875.06,909.77,913.79,905,2021.06.09 16:29:58,
GBP,903.12,875.06,909.77,913.79,905,2021.06.09 16:29:48,
GBP,903.07,875.01,909.72,913.74,905,2021.06.09 16:29:04,
GBP,903.2,875.13,909.85,913.87,905,2021.06.09 16:26:24,
GBP,903.66,875.58,910.31,914.34,905,2021.06.09 16:23:05,
GBP,903.79,875.7,910.44,914.47,905,2021.06.09 16:18:56,
GBP,903.66,875.58,910.31,914.34,905,2021.06.09 16:17:11,
GBP,903.66,875.58,910.31,914.34,905,2021.06.09 16:14:11,
GBP,903.59,875.51,910.24,914.27,905,2021.06.09 16:11:56,
GBP,903.59,875.51,910.24,914.27,905,2021.06.09 16:10:24,
GBP,903.15,875.09,909.8,913.82,905,2021.06.09 16:05:22,
GBP,903.34,875.27,909.99,914.01,905,2021.06.09 16:02:51,
GBP,902.97,874.91,909.62,913.64,905,2021.06.09 15:59:55,
GBP,902.78,874.73,909.43,913.45,905,2021.06.09 15:56:33,
GBP,902.85,874.8,909.5,913.52,905,2021.06.09 15:56:21,
GBP,902.93,874.87,909.58,913.6,905,2021.06.09 15:53:41,
GBP,902.86,874.81,909.51,913.53,905,2021.06.09 15:51:44,
GBP,902.86,874.81,909.51,913.53,905,2021.06.09 15:49:45,
GBP,902.79,874.74,909.44,913.46,905,2021.06.09 15:48:57,
GBP,902.85,874.8,909.5,913.52,905,2021.06.09 15:46:59,
GBP,902.66,874.61,909.31,913.33,905,2021.06.09 15:45:03,
GBP,902.65,874.6,909.3,913.32,905,2021.06.09 15:43:56,
GBP,902.71,874.66,909.36,913.38,905,2021.06.09 15:40:37,
GBP,902.9,874.84,909.55,913.57,905,2021.06.09 15:40:03,
GBP,903.34,875.27,909.99,914.01,905,2021.06.09 15:29:58,
GBP,903.41,875.34,910.06,914.08,905,2021.06.09 15:17:10,
GBP,903.29,875.22,909.94,913.96,905,2021.06.09 15:16:49,
GBP,903.04,874.98,909.69,913.71,905,2021.06.09 15:10:20,
GBP,903.22,875.15,909.87,913.89,905,2021.06.09 15:06:14,
GBP,903.17,875.1,909.82,913.84,905,2021.06.09 15:02:58,
GBP,903.1,875.04,909.75,913.77,905,2021.06.09 14:59:16,
GBP,903.17,875.1,909.82,913.84,905,2021.06.09 14:57:26,
GBP,903.43,875.36,910.08,914.1,905,2021.06.09 14:46:48,
GBP,903.56,875.48,910.21,914.24,905,2021.06.09 14:46:37,
GBP,903.49,875.41,910.14,914.16,905,2021.06.09 14:45:44,
GBP,903.49,875.41,910.14,914.16,905,2021.06.09 14:44:57,
GBP,902.28,874.25,908.93,912.94,905,2021.06.09 14:17:25,
GBP,902.16,874.13,908.8,912.82,905,2021.06.09 14:14:35,
GBP,902.36,874.32,909.01,913.03,905,2021.06.09 14:02:40,
GBP,902.37,874.33,909.02,913.04,905,2021.06.09 14:02:29,soryy,wrong search word submit,please check your search word!,soryy,wrong search word submit,please check your search word!,soryy,wrong search word submit,please check your search word!,
GBP,903.22,875.15,909.87,913.89,905.94,2021.06.09 09:13:22,
