Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
JPY,5.8081,5.6276,5.8508,5.8598,5.8418,2021.06.09 23:42:44,
JPY,5.8081,5.6276,5.8508,5.8598,5.8418,2021.06.09 23:42:44,
JPY,5.8081,5.6276,5.8508,5.8598,5.8418,2021.06.09 23:42:44,
JPY,5.8065,5.6261,5.8492,5.8582,5.8418,2021.06.09 23:32:17,
JPY,5.8081,5.6276,5.8508,5.8598,5.8418,2021.06.09 23:00:39,
JPY,5.8077,5.6272,5.8504,5.8594,5.8418,2021.06.09 22:51:56,
JPY,5.8093,5.6288,5.852,5.861,5.8418,2021.06.09 22:48:47,
JPY,5.8064,5.626,5.8491,5.8581,5.8418,2021.06.09 22:38:03,
JPY,5.8207,5.6399,5.8636,5.8726,5.8418,2021.06.09 22:04:31,
JPY,5.8241,5.6432,5.867,5.876,5.8418,2021.06.09 21:44:48,
JPY,5.8257,5.6447,5.8686,5.8776,5.8418,2021.06.09 21:36:16,
JPY,5.8247,5.6437,5.8676,5.8766,5.8418,2021.06.09 21:31:36,
JPY,5.8251,5.6441,5.868,5.877,5.8418,2021.06.09 21:31:25,
JPY,5.824,5.6431,5.8669,5.8759,5.8418,2021.06.09 21:28:29,
JPY,5.8188,5.638,5.8615,5.8706,5.8418,2021.06.09 20:15:04,
JPY,5.8188,5.638,5.8615,5.8706,5.8418,2021.06.09 19:45:41,
JPY,5.8177,5.6369,5.8604,5.8695,5.8418,2021.06.09 19:29:25,
JPY,5.8156,5.6349,5.8583,5.8674,5.8418,2021.06.09 18:21:24,
JPY,5.8156,5.6349,5.8583,5.8674,5.8418,2021.06.09 18:18:43,
JPY,5.8161,5.6353,5.8588,5.8679,5.8418,2021.06.09 18:10:36,
JPY,5.815,5.6343,5.8577,5.8668,5.8418,2021.06.09 17:59:38,
JPY,5.8145,5.6338,5.8572,5.8663,5.8418,2021.06.09 17:58:29,
JPY,5.8145,5.6338,5.8572,5.8663,5.8418,2021.06.09 17:54:03,
JPY,5.8133,5.6326,5.856,5.8651,5.8418,2021.06.09 17:51:27,
JPY,5.8138,5.6331,5.8565,5.8656,5.8418,2021.06.09 17:49:21,
JPY,5.8132,5.6325,5.8559,5.865,5.8418,2021.06.09 17:47:23,
JPY,5.8154,5.6347,5.8581,5.8672,5.8418,2021.06.09 17:33:07,
JPY,5.8163,5.6355,5.859,5.8681,5.8418,2021.06.09 17:28:23,
JPY,5.8153,5.6346,5.858,5.8671,5.8418,2021.06.09 17:21:56,
JPY,5.8153,5.6346,5.858,5.8671,5.8418,2021.06.09 17:19:20,
JPY,5.8158,5.6351,5.8585,5.8676,5.8418,2021.06.09 17:17:12,
JPY,5.8158,5.6351,5.8585,5.8676,5.8418,2021.06.09 17:13:24,
JPY,5.8163,5.6355,5.859,5.8681,5.8418,2021.06.09 17:12:16,
JPY,5.8158,5.6351,5.8585,5.8676,5.8418,2021.06.09 17:11:37,
JPY,5.8152,5.6345,5.8579,5.867,5.8418,2021.06.09 17:09:11,
JPY,5.8153,5.6346,5.858,5.8671,5.8418,2021.06.09 16:46:20,
JPY,5.8158,5.6351,5.8585,5.8676,5.8418,2021.06.09 16:40:42,
JPY,5.8163,5.6355,5.859,5.8681,5.8418,2021.06.09 16:37:36,
JPY,5.8162,5.6354,5.8589,5.868,5.8418,2021.06.09 16:37:05,
JPY,5.8177,5.6369,5.8604,5.8695,5.8418,2021.06.09 16:31:21,
JPY,5.8183,5.6375,5.861,5.8701,5.8418,2021.06.09 16:29:58,
JPY,5.8187,5.6379,5.8614,5.8705,5.8418,2021.06.09 16:29:48,
JPY,5.8186,5.6378,5.8613,5.8704,5.8418,2021.06.09 16:29:04,
JPY,5.8192,5.6383,5.8619,5.871,5.8418,2021.06.09 16:26:24,
JPY,5.8216,5.6408,5.8645,5.8735,5.8418,2021.06.09 16:23:05,
JPY,5.8211,5.6403,5.864,5.873,5.8418,2021.06.09 16:18:56,
JPY,5.8195,5.6387,5.8623,5.8714,5.8418,2021.06.09 16:17:11,
JPY,5.8216,5.6408,5.8645,5.8735,5.8418,2021.06.09 16:14:11,
JPY,5.8232,5.6423,5.8661,5.8751,5.8418,2021.06.09 16:11:56,
JPY,5.8227,5.6418,5.8656,5.8746,5.8418,2021.06.09 16:10:24,
JPY,5.8216,5.6408,5.8645,5.8735,5.8418,2021.06.09 16:05:22,
JPY,5.8215,5.6407,5.8644,5.8734,5.8418,2021.06.09 16:02:51,
JPY,5.8209,5.6401,5.8638,5.8728,5.8418,2021.06.09 15:59:55,
JPY,5.8203,5.6395,5.8631,5.8722,5.8418,2021.06.09 15:56:33,
JPY,5.8213,5.6405,5.8642,5.8732,5.8418,2021.06.09 15:56:21,
JPY,5.8217,5.6408,5.8646,5.8736,5.8418,2021.06.09 15:53:41,
JPY,5.8217,5.6408,5.8646,5.8736,5.8418,2021.06.09 15:51:44,
JPY,5.8212,5.6404,5.8641,5.8731,5.8418,2021.06.09 15:49:45,
JPY,5.8202,5.6394,5.863,5.8721,5.8418,2021.06.09 15:48:57,
JPY,5.8203,5.6395,5.8631,5.8722,5.8418,2021.06.09 15:46:59,
JPY,5.8203,5.6395,5.8631,5.8722,5.8418,2021.06.09 15:45:03,
JPY,5.8198,5.639,5.8626,5.8717,5.8418,2021.06.09 15:43:56,
JPY,5.8194,5.6386,5.8622,5.8713,5.8418,2021.06.09 15:40:37,
JPY,5.8199,5.6391,5.8627,5.8718,5.8418,2021.06.09 15:40:03,
JPY,5.821,5.6402,5.8639,5.8729,5.8418,2021.06.09 15:29:58,
JPY,5.8215,5.6407,5.8644,5.8734,5.8418,2021.06.09 15:17:10,
JPY,5.822,5.6411,5.8649,5.8739,5.8418,2021.06.09 15:16:49,
JPY,5.8208,5.64,5.8637,5.8727,5.8418,2021.06.09 15:10:20,
JPY,5.8204,5.6396,5.8633,5.8723,5.8418,2021.06.09 15:06:14,
JPY,5.8219,5.641,5.8648,5.8738,5.8418,2021.06.09 15:02:58,
JPY,5.8225,5.6416,5.8654,5.8744,5.8418,2021.06.09 14:59:16,
JPY,5.8234,5.6425,5.8663,5.8753,5.8418,2021.06.09 14:57:26,
JPY,5.8234,5.6425,5.8663,5.8753,5.8418,2021.06.09 14:46:48,
JPY,5.8244,5.6435,5.8673,5.8763,5.8418,2021.06.09 14:46:37,
JPY,5.8245,5.6436,5.8674,5.8764,5.8418,2021.06.09 14:45:44,
JPY,5.8245,5.6436,5.8674,5.8764,5.8418,2021.06.09 14:44:57,
JPY,5.8218,5.6409,5.8647,5.8737,5.8418,2021.06.09 14:17:25,
JPY,5.8217,5.6408,5.8646,5.8736,5.8418,2021.06.09 14:14:35,
JPY,5.8232,5.6423,5.8661,5.8751,5.8418,2021.06.09 14:02:40,
JPY,5.8231,5.6422,5.866,5.875,5.8418,2021.06.09 14:02:29,
JPY,5.8211,5.6403,5.864,5.873,5.8418,2021.06.09 13:57:03,
JPY,5.8211,5.6403,5.864,5.873,5.8418,2021.06.09 13:51:12,
JPY,5.8217,5.6408,5.8646,5.8736,5.8418,2021.06.09 13:45:19,
JPY,5.8216,5.6408,5.8645,5.8735,5.8418,2021.06.09 13:38:48,
JPY,5.8211,5.6403,5.864,5.873,5.8418,2021.06.09 13:23:13,
JPY,5.8211,5.6403,5.864,5.873,5.8418,2021.06.09 13:09:13,
JPY,5.8207,5.6399,5.8636,5.8726,5.8418,2021.06.09 12:51:03,
JPY,5.8202,5.6394,5.863,5.8721,5.8418,2021.06.09 12:15:56,
JPY,5.8196,5.6388,5.8624,5.8715,5.8418,2021.06.09 12:06:43,
JPY,5.8207,5.6399,5.8636,5.8726,5.8418,2021.06.09 11:51:26,
JPY,5.8217,5.6408,5.8646,5.8736,5.8418,2021.06.09 11:45:01,
JPY,5.8227,5.6418,5.8656,5.8746,5.8418,2021.06.09 11:34:26,
JPY,5.8227,5.6418,5.8656,5.8746,5.8418,2021.06.09 11:30:30,
JPY,5.8217,5.6408,5.8646,5.8736,5.8418,2021.06.09 11:27:51,
JPY,5.8243,5.6434,5.8672,5.8762,5.8418,2021.06.09 11:21:45,
JPY,5.8233,5.6424,5.8662,5.8752,5.8418,2021.06.09 11:20:53,
JPY,5.8224,5.6415,5.8653,5.8743,5.8418,2021.06.09 11:19:38,
JPY,5.8228,5.6419,5.8657,5.8747,5.8418,2021.06.09 11:17:49,
JPY,5.8224,5.6415,5.8653,5.8743,5.8418,2021.06.09 11:15:47,
JPY,5.8233,5.6424,5.8662,5.8752,5.8418,2021.06.09 11:07:08,
JPY,5.8237,5.6428,5.8666,5.8756,5.8418,2021.06.09 11:03:03,
JPY,5.8233,5.6424,5.8662,5.8752,5.8418,2021.06.09 11:01:20,
JPY,5.8233,5.6424,5.8662,5.8752,5.8418,2021.06.09 10:59:51,
JPY,5.8237,5.6428,5.8666,5.8756,5.8418,2021.06.09 10:57:56,
JPY,5.8242,5.6433,5.8671,5.8761,5.8418,2021.06.09 10:56:57,
JPY,5.8242,5.6433,5.8671,5.8761,5.8418,2021.06.09 10:56:16,
JPY,5.8237,5.6428,5.8666,5.8756,5.8418,2021.06.09 10:53:45,
JPY,5.8237,5.6428,5.8666,5.8756,5.8418,2021.06.09 10:50:55,
JPY,5.8237,5.6428,5.8666,5.8756,5.8418,2021.06.09 10:44:32,
JPY,5.8246,5.6436,5.8675,5.8765,5.8418,2021.06.09 10:38:23,
JPY,5.8246,5.6436,5.8675,5.8765,5.8418,2021.06.09 10:37:38,
JPY,5.825,5.644,5.8679,5.8769,5.8418,2021.06.09 10:30:00,
JPY,5.825,5.644,5.8679,5.8769,5.8418,2021.06.09 10:30:00,
JPY,5.825,5.644,5.8679,5.8769,5.8418,2021.06.09 10:30:00,
JPY,5.825,5.644,5.8679,5.8769,5.8418,2021.06.09 10:24:21,
JPY,5.8244,5.6435,5.8673,5.8763,5.8418,2021.06.09 10:22:02,
JPY,5.826,5.645,5.8689,5.8779,5.8418,2021.06.09 10:12:48,
JPY,5.8256,5.6446,5.8685,5.8775,5.8418,2021.06.09 10:11:11,
JPY,5.8256,5.6446,5.8685,5.8775,5.8418,2021.06.09 10:11:11,
JPY,5.8256,5.6446,5.8685,5.8775,5.8418,2021.06.09 10:10:24,
JPY,5.8256,5.6446,5.8685,5.8775,5.8418,2021.06.09 10:10:24,
JPY,5.8256,5.6446,5.8685,5.8775,5.8418,2021.06.09 09:59:32,
JPY,5.826,5.645,5.8689,5.8779,5.8418,2021.06.09 09:56:28,
JPY,5.8265,5.6455,5.8694,5.8784,5.8418,2021.06.09 09:55:05,
JPY,5.826,5.645,5.8689,5.8779,5.8418,2021.06.09 09:52:31,
JPY,5.8251,5.6441,5.868,5.877,5.8418,2021.06.09 09:51:04,
JPY,5.8261,5.6451,5.869,5.878,5.8418,2021.06.09 09:46:21,
JPY,5.8257,5.6447,5.8686,5.8776,5.8418,2021.06.09 09:43:19,
