Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
KRW,0.5699,0.5499,0.5745,0.5955,0.5732,2021.06.09 23:42:44,
KRW,0.5699,0.5499,0.5745,0.5955,0.5732,2021.06.09 23:42:44,
KRW,0.5699,0.5499,0.5745,0.5955,0.5732,2021.06.09 23:42:44,
KRW,0.5696,0.5496,0.5742,0.5952,0.5732,2021.06.09 23:32:17,
KRW,0.5705,0.5505,0.5751,0.5962,0.5732,2021.06.09 23:00:39,
KRW,0.5702,0.5502,0.5748,0.5959,0.5732,2021.06.09 22:51:56,
KRW,0.5703,0.5503,0.5749,0.596,0.5732,2021.06.09 22:48:47,
KRW,0.5704,0.5504,0.575,0.5961,0.5732,2021.06.09 22:38:03,
KRW,0.571,0.5509,0.5756,0.5967,0.5732,2021.06.09 22:04:31,
KRW,0.571,0.5509,0.5756,0.5967,0.5732,2021.06.09 21:44:48,
KRW,0.5711,0.551,0.5757,0.5968,0.5732,2021.06.09 21:36:16,
KRW,0.5711,0.551,0.5757,0.5968,0.5732,2021.06.09 21:31:36,
KRW,0.5711,0.551,0.5757,0.5968,0.5732,2021.06.09 21:31:25,
KRW,0.5709,0.5508,0.5755,0.5966,0.5732,2021.06.09 21:28:29,
KRW,0.571,0.5509,0.5756,0.5967,0.5732,2021.06.09 20:15:04,
KRW,0.571,0.5509,0.5756,0.5967,0.5732,2021.06.09 19:45:41,
KRW,0.5708,0.5507,0.5754,0.5965,0.5732,2021.06.09 19:29:25,
KRW,0.5709,0.5508,0.5755,0.5966,0.5732,2021.06.09 18:21:24,
KRW,0.5709,0.5508,0.5755,0.5966,0.5732,2021.06.09 18:18:43,
KRW,0.5709,0.5508,0.5755,0.5966,0.5732,2021.06.09 18:10:36,
KRW,0.571,0.5509,0.5756,0.5967,0.5732,2021.06.09 17:59:38,
KRW,0.571,0.5509,0.5756,0.5967,0.5732,2021.06.09 17:58:29,
KRW,0.571,0.5509,0.5756,0.5967,0.5732,2021.06.09 17:54:03,
KRW,0.5709,0.5508,0.5755,0.5966,0.5732,2021.06.09 17:51:27,
KRW,0.571,0.5509,0.5756,0.5967,0.5732,2021.06.09 17:49:21,
KRW,0.571,0.5509,0.5756,0.5967,0.5732,2021.06.09 17:47:23,
KRW,0.5713,0.5512,0.5759,0.597,0.5732,2021.06.09 17:33:07,
KRW,0.5714,0.5513,0.576,0.5971,0.5732,2021.06.09 17:28:23,
KRW,0.5714,0.5513,0.576,0.5971,0.5732,2021.06.09 17:21:56,
KRW,0.5715,0.5514,0.5761,0.5972,0.5732,2021.06.09 17:19:20,
KRW,0.5715,0.5514,0.5761,0.5972,0.5732,2021.06.09 17:17:12,
KRW,0.5715,0.5514,0.5761,0.5972,0.5732,2021.06.09 17:13:24,
KRW,0.5715,0.5514,0.5761,0.5972,0.5732,2021.06.09 17:12:16,
