Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
NOK,76.94,74.57,77.56,77.93,77.35,2021.06.09 23:42:44,
NOK,76.94,74.57,77.56,77.93,77.35,2021.06.09 23:42:44,
NOK,76.94,74.57,77.56,77.93,77.35,2021.06.09 23:42:44,
NOK,76.91,74.54,77.53,77.9,77.35,2021.06.09 23:32:17,
NOK,76.86,74.49,77.48,77.85,77.35,2021.06.09 23:00:39,
NOK,76.86,74.49,77.48,77.85,77.35,2021.06.09 22:51:56,
NOK,76.91,74.54,77.53,77.9,77.35,2021.06.09 22:48:47,
NOK,76.93,74.56,77.55,77.92,77.35,2021.06.09 22:38:03,
NOK,77.11,74.73,77.73,78.1,77.35,2021.06.09 22:04:31,
NOK,77.14,74.76,77.76,78.13,77.35,2021.06.09 21:44:48,
NOK,77.18,74.8,77.8,78.17,77.35,2021.06.09 21:36:16,
NOK,77.19,74.81,77.81,78.18,77.35,2021.06.09 21:31:36,
NOK,77.18,74.8,77.8,78.17,77.35,2021.06.09 21:31:25,
NOK,77.19,74.81,77.81,78.18,77.35,2021.06.09 21:28:29,
NOK,77.16,74.78,77.78,78.15,77.35,2021.06.09 20:15:04,
NOK,77.12,74.74,77.74,78.11,77.35,2021.06.09 19:45:41,
NOK,77.13,74.75,77.75,78.12,77.35,2021.06.09 19:29:25,
NOK,77.09,74.71,77.71,78.08,77.35,2021.06.09 18:21:24,
NOK,77.09,74.71,77.71,78.08,77.35,2021.06.09 18:18:43,
NOK,77.07,74.69,77.69,78.06,77.35,2021.06.09 18:10:36,
NOK,77.07,74.69,77.69,78.06,77.35,2021.06.09 17:59:38,
NOK,77.06,74.68,77.68,78.05,77.35,2021.06.09 17:58:29,
NOK,77.03,74.65,77.65,78.02,77.35,2021.06.09 17:54:03,
NOK,77.02,74.64,77.64,78.01,77.35,2021.06.09 17:51:27,
NOK,77.04,74.66,77.66,78.03,77.35,2021.06.09 17:49:21,
NOK,77.04,74.66,77.66,78.03,77.35,2021.06.09 17:47:23,
NOK,77.06,74.68,77.68,78.05,77.35,2021.06.09 17:33:07,
NOK,77.05,74.67,77.67,78.04,77.35,2021.06.09 17:28:23,
NOK,77.05,74.67,77.67,78.04,77.35,2021.06.09 17:21:56,
