Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
PHP,13.29,12.84,13.45,14.05,,2021.06.09 23:42:44,
PHP,13.29,12.84,13.45,14.05,,2021.06.09 23:42:44,
PHP,13.29,12.84,13.45,14.05,,2021.06.09 23:42:44,
PHP,13.29,12.84,13.45,14.05,,2021.06.09 23:32:17,
PHP,13.3,12.84,13.46,14.06,,2021.06.09 23:00:39,
PHP,13.3,12.84,13.46,14.06,,2021.06.09 22:51:56,
PHP,13.29,12.84,13.45,14.05,,2021.06.09 22:48:47,
PHP,13.28,12.83,13.44,14.04,,2021.06.09 22:38:03,
PHP,13.29,12.84,13.45,14.05,,2021.06.09 22:04:31,
PHP,13.3,12.84,13.46,14.06,,2021.06.09 21:44:48,
PHP,13.3,12.84,13.46,14.06,,2021.06.09 21:36:16,
PHP,13.3,12.84,13.46,14.06,,2021.06.09 21:31:36,
PHP,13.3,12.84,13.46,14.06,,2021.06.09 21:31:25,
PHP,13.3,12.84,13.46,14.06,,2021.06.09 21:28:29,
PHP,13.29,12.84,13.45,14.05,,2021.06.09 20:15:04,
PHP,13.3,12.84,13.46,14.06,,2021.06.09 19:45:41,
PHP,13.3,12.84,13.46,14.06,,2021.06.09 19:29:25,
PHP,13.3,12.84,13.46,14.06,,2021.06.09 18:21:24,
PHP,13.3,12.84,13.46,14.06,,2021.06.09 18:18:43,
PHP,13.3,12.84,13.46,14.06,,2021.06.09 18:10:36,
PHP,13.3,12.84,13.46,14.06,,2021.06.09 17:59:38,
PHP,13.3,12.84,13.46,14.06,,2021.06.09 17:58:29,
PHP,13.3,12.84,13.46,14.06,,2021.06.09 17:54:03,
PHP,13.3,12.84,13.46,14.06,,2021.06.09 17:51:27,
PHP,13.31,12.85,13.47,14.07,,2021.06.09 17:49:21,
PHP,13.31,12.85,13.47,14.07,,2021.06.09 17:47:23,
PHP,13.31,12.85,13.47,14.07,,2021.06.09 17:33:07,
