Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
TRY,74.05,70.42,74.65,85.71,74.34,2021.06.09 23:42:44,
TRY,74.05,70.42,74.65,85.71,74.34,2021.06.09 23:42:44,
TRY,74.05,70.42,74.65,85.71,74.34,2021.06.09 23:42:44,
TRY,74.01,70.39,74.61,85.66,74.34,2021.06.09 23:32:17,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 23:00:39,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 22:51:56,
TRY,74.08,70.45,74.68,85.75,74.34,2021.06.09 22:48:47,
TRY,74.06,70.43,74.66,85.72,74.34,2021.06.09 22:38:03,
TRY,74.13,70.5,74.73,85.8,74.34,2021.06.09 22:04:31,
TRY,74.15,70.52,74.75,85.83,74.34,2021.06.09 21:44:48,
TRY,74.14,70.51,74.74,85.81,74.34,2021.06.09 21:36:16,
TRY,74.12,70.49,74.72,85.79,74.34,2021.06.09 21:31:36,
TRY,74.15,70.52,74.75,85.83,74.34,2021.06.09 21:31:25,
TRY,74.13,70.5,74.73,85.8,74.34,2021.06.09 21:28:29,
TRY,74.15,70.52,74.75,85.83,74.34,2021.06.09 20:15:04,
TRY,74.09,70.46,74.69,85.76,74.34,2021.06.09 19:45:41,
TRY,74.1,70.47,74.7,85.77,74.34,2021.06.09 19:29:25,
TRY,74.15,70.52,74.75,85.83,74.34,2021.06.09 18:21:24,
TRY,74.17,70.54,74.77,85.85,74.34,2021.06.09 18:18:43,
TRY,74.11,70.48,74.71,85.78,74.34,2021.06.09 18:10:36,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 17:59:38,
TRY,74.06,70.43,74.66,85.72,74.34,2021.06.09 17:58:29,
TRY,74.06,70.43,74.66,85.72,74.34,2021.06.09 17:54:03,
TRY,74.06,70.43,74.66,85.72,74.34,2021.06.09 17:51:27,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 17:49:21,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 17:47:23,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 17:33:07,
TRY,74.02,70.4,74.62,85.68,74.34,2021.06.09 17:28:23,
TRY,74.04,70.41,74.64,85.7,74.34,2021.06.09 17:21:56,
TRY,74.04,70.41,74.64,85.7,74.34,2021.06.09 17:19:20,
TRY,74.04,70.41,74.64,85.7,74.34,2021.06.09 17:17:12,
TRY,74.04,70.41,74.64,85.7,74.34,2021.06.09 17:13:24,
TRY,74.04,70.41,74.64,85.7,74.34,2021.06.09 17:12:16,
TRY,74.05,70.42,74.65,85.71,74.34,2021.06.09 17:11:37,
TRY,74.06,70.43,74.66,85.72,74.34,2021.06.09 17:09:11,
TRY,74.15,70.52,74.75,85.83,74.34,2021.06.09 16:46:20,
TRY,74.12,70.49,74.72,85.79,74.34,2021.06.09 16:40:42,
TRY,74.1,70.47,74.7,85.77,74.34,2021.06.09 16:37:36,
TRY,74.1,70.47,74.7,85.77,74.34,2021.06.09 16:37:05,
TRY,74.12,70.49,74.72,85.79,74.34,2021.06.09 16:31:21,
TRY,74.08,70.45,74.68,85.75,74.34,2021.06.09 16:29:58,
TRY,74.08,70.45,74.68,85.75,74.34,2021.06.09 16:29:48,
TRY,74.09,70.46,74.69,85.76,74.34,2021.06.09 16:29:04,
TRY,74.09,70.46,74.69,85.76,74.34,2021.06.09 16:26:24,
TRY,74.14,70.51,74.74,85.81,74.34,2021.06.09 16:23:05,
TRY,74.22,70.59,74.82,85.91,74.34,2021.06.09 16:18:56,
TRY,74.13,70.5,74.73,85.8,74.34,2021.06.09 16:17:11,
TRY,74.13,70.5,74.73,85.8,74.34,2021.06.09 16:14:11,
TRY,74.08,70.45,74.68,85.75,74.34,2021.06.09 16:11:56,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 16:10:24,
TRY,74.05,70.42,74.65,85.71,74.34,2021.06.09 16:05:22,
TRY,74.05,70.42,74.65,85.71,74.34,2021.06.09 16:02:51,
TRY,74.06,70.43,74.66,85.72,74.34,2021.06.09 15:59:55,
TRY,74.05,70.42,74.65,85.71,74.34,2021.06.09 15:56:33,
TRY,74.06,70.43,74.66,85.72,74.34,2021.06.09 15:56:21,
TRY,74.06,70.43,74.66,85.72,74.34,2021.06.09 15:53:41,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 15:51:44,
TRY,74.06,70.43,74.66,85.72,74.34,2021.06.09 15:49:45,
TRY,74.06,70.43,74.66,85.72,74.34,2021.06.09 15:48:57,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 15:46:59,
TRY,74.1,70.47,74.7,85.77,74.34,2021.06.09 15:45:03,
TRY,74.12,70.49,74.72,85.79,74.34,2021.06.09 15:43:56,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 15:40:37,
TRY,74.07,70.44,74.67,85.73,74.34,2021.06.09 15:40:03,
TRY,74.08,70.45,74.68,85.75,74.34,2021.06.09 15:29:58,
TRY,74.03,70.41,74.63,85.69,74.34,2021.06.09 15:17:10,
TRY,74.01,70.39,74.61,85.66,74.34,2021.06.09 15:16:49,
TRY,74.01,70.39,74.61,85.66,74.34,2021.06.09 15:10:20,
TRY,73.98,70.36,74.58,85.63,74.34,2021.06.09 15:06:14,
TRY,74.01,70.39,74.61,85.66,74.34,2021.06.09 15:02:58,
TRY,73.95,70.33,74.55,85.6,74.34,2021.06.09 14:59:16,
TRY,73.96,70.34,74.56,85.61,74.34,2021.06.09 14:57:26,
TRY,73.96,70.34,74.56,85.61,74.34,2021.06.09 14:46:48,
TRY,73.98,70.36,74.58,85.63,74.34,2021.06.09 14:46:37,
TRY,74.01,70.39,74.61,85.66,74.34,2021.06.09 14:45:44,
TRY,73.95,70.33,74.55,85.6,74.34,2021.06.09 14:44:57,
TRY,73.92,70.3,74.52,85.56,74.34,2021.06.09 14:17:25,
TRY,73.98,70.36,74.58,85.63,74.34,2021.06.09 14:14:35,
