Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
USD,637.4,632.21,640.1,640.1,639.56,2021.06.09 23:42:44,
USD,637.4,632.21,640.1,640.1,639.56,2021.06.09 23:42:44,
USD,637.4,632.21,640.1,640.1,639.56,2021.06.09 23:42:44,
USD,637.4,632.21,640.1,640.1,639.56,2021.06.09 23:32:17,
USD,637.4,632.21,640.1,640.1,639.56,2021.06.09 23:00:39,
USD,637.3,632.12,640,640,639.56,2021.06.09 22:51:56,
USD,637.3,632.12,640,640,639.56,2021.06.09 22:48:47,
USD,637.1,631.92,639.8,639.8,639.56,2021.06.09 22:38:03,
USD,637.1,631.92,639.8,639.8,639.56,2021.06.09 22:04:31,
USD,637.3,632.12,640,640,639.56,2021.06.09 21:44:48,
USD,637.3,632.12,640,640,639.56,2021.06.09 21:36:16,
USD,637.3,632.12,640,640,639.56,2021.06.09 21:31:36,
USD,637.35,632.16,640.05,640.05,639.56,2021.06.09 21:31:25,
USD,637.35,632.16,640.05,640.05,639.56,2021.06.09 21:28:29,
USD,637.35,632.16,640.05,640.05,639.56,2021.06.09 20:15:04,
USD,637.35,632.16,640.05,640.05,639.56,2021.06.09 19:45:41,
USD,637.35,632.16,640.05,640.05,639.56,2021.06.09 19:29:25,
USD,637.35,632.16,640.05,640.05,639.56,2021.06.09 18:21:24,
USD,637.35,632.16,640.05,640.05,639.56,2021.06.09 18:18:43,
USD,637.35,632.16,640.05,640.05,639.56,2021.06.09 18:10:36,
USD,637.4,632.21,640.1,640.1,639.56,2021.06.09 17:59:38,
USD,637.4,632.21,640.1,640.1,639.56,2021.06.09 17:58:29,
USD,637.4,632.21,640.1,640.1,639.56,2021.06.09 17:54:03,
USD,637.45,632.26,640.15,640.15,639.56,2021.06.09 17:51:27,
USD,637.5,632.31,640.2,640.2,639.56,2021.06.09 17:49:21,
USD,637.5,632.31,640.2,640.2,639.56,2021.06.09 17:47:23,
USD,637.5,632.31,640.2,640.2,639.56,2021.06.09 17:33:07,
USD,637.6,632.41,640.3,640.3,639.56,2021.06.09 17:28:23,
USD,637.55,632.36,640.25,640.25,639.56,2021.06.09 17:21:56,
USD,637.55,632.36,640.25,640.25,639.56,2021.06.09 17:19:20,
USD,637.55,632.36,640.25,640.25,639.56,2021.06.09 17:17:12,
USD,637.55,632.36,640.25,640.25,639.56,2021.06.09 17:13:24,
USD,637.6,632.41,640.3,640.3,639.56,2021.06.09 17:12:16,
USD,637.6,632.41,640.3,640.3,639.56,2021.06.09 17:11:37,
USD,637.6,632.41,640.3,640.3,639.56,2021.06.09 17:09:11,
USD,637.55,632.36,640.25,640.25,639.56,2021.06.09 16:46:20,
USD,637.6,632.41,640.3,640.3,639.56,2021.06.09 16:40:42,
USD,637.6,632.41,640.3,640.3,639.56,2021.06.09 16:37:36,
USD,637.65,632.46,640.35,640.35,639.56,2021.06.09 16:37:05,
USD,637.7,632.51,640.4,640.4,639.56,2021.06.09 16:31:21,
USD,637.7,632.51,640.4,640.4,639.56,2021.06.09 16:29:58,
USD,637.75,632.56,640.45,640.45,639.56,2021.06.09 16:29:48,
USD,637.8,632.61,640.5,640.5,639.56,2021.06.09 16:29:04,
USD,637.8,632.61,640.5,640.5,639.56,2021.06.09 16:26:24,
USD,637.9,632.71,640.6,640.6,639.56,2021.06.09 16:23:05,
USD,637.9,632.71,640.6,640.6,639.56,2021.06.09 16:18:56,
USD,637.9,632.71,640.6,640.6,639.56,2021.06.09 16:17:11,
USD,637.9,632.71,640.6,640.6,639.56,2021.06.09 16:14:11,
USD,637.9,632.71,640.6,640.6,639.56,2021.06.09 16:11:56,
USD,637.85,632.66,640.55,640.55,639.56,2021.06.09 16:10:24,
USD,637.9,632.71,640.6,640.6,639.56,2021.06.09 16:05:22,
USD,637.95,632.76,640.65,640.65,639.56,2021.06.09 16:02:51,
USD,638,632.81,640.7,640.7,639.56,2021.06.09 15:59:55,
USD,638.05,632.86,640.75,640.75,639.56,2021.06.09 15:56:33,
USD,638.1,632.91,640.8,640.8,639.56,2021.06.09 15:56:21,
USD,638.15,632.96,640.85,640.85,639.56,2021.06.09 15:53:41,
USD,638.15,632.96,640.85,640.85,639.56,2021.06.09 15:51:44,
USD,638.15,632.96,640.85,640.85,639.56,2021.06.09 15:49:45,
USD,638.1,632.91,640.8,640.8,639.56,2021.06.09 15:48:57,
USD,638.05,632.86,640.75,640.75,639.56,2021.06.09 15:46:59,
USD,638.05,632.86,640.75,640.75,639.56,2021.06.09 15:45:03,
USD,638,632.81,640.7,640.7,639.56,2021.06.09 15:43:56,
USD,637.95,632.76,640.65,640.65,639.56,2021.06.09 15:40:37,
USD,637.95,632.76,640.65,640.65,639.56,2021.06.09 15:40:03,
USD,637.95,632.76,640.65,640.65,639.56,2021.06.09 15:29:58,
USD,637.95,632.76,640.65,640.65,639.56,2021.06.09 15:17:10,
USD,638,632.81,640.7,640.7,639.56,2021.06.09 15:16:49,
USD,638.05,632.86,640.75,640.75,639.56,2021.06.09 15:10:20,
USD,638,632.81,640.7,640.7,639.56,2021.06.09 15:06:14,
USD,638.05,632.86,640.75,640.75,639.56,2021.06.09 15:02:58,
USD,638,632.81,640.7,640.7,639.56,2021.06.09 14:59:16,
USD,638.1,632.91,640.8,640.8,639.56,2021.06.09 14:57:26,
USD,638.1,632.91,640.8,640.8,639.56,2021.06.09 14:46:48,
USD,638.15,632.96,640.85,640.85,639.56,2021.06.09 14:46:37,
USD,638.1,632.91,640.8,640.8,639.56,2021.06.09 14:45:44,
USD,638.1,632.91,640.8,640.8,639.56,2021.06.09 14:44:57,
USD,638.1,632.91,640.8,640.8,639.56,2021.06.09 14:17:25,
USD,638.15,632.96,640.85,640.85,639.56,2021.06.09 14:14:35,
USD,638.25,633.06,640.95,640.95,639.56,2021.06.09 14:02:40,
USD,638.3,633.11,641,641,639.56,2021.06.09 14:02:29,
USD,638.25,633.06,640.95,640.95,639.56,2021.06.09 13:57:03,
USD,638.25,633.06,640.95,640.95,639.56,2021.06.09 13:51:12,
USD,638.2,633.01,640.9,640.9,639.56,2021.06.09 13:45:19,
USD,638.25,633.06,640.95,640.95,639.56,2021.06.09 13:38:48,
USD,638.2,633.01,640.9,640.9,639.56,2021.06.09 13:23:13,
USD,638.2,633.01,640.9,640.9,639.56,2021.06.09 13:09:13,
USD,638.15,632.96,640.85,640.85,639.56,2021.06.09 12:51:03,
USD,638.1,632.91,640.8,640.8,639.56,2021.06.09 12:15:56,
USD,638.15,632.96,640.85,640.85,639.56,2021.06.09 12:06:43,
USD,638.15,632.96,640.85,640.85,639.56,2021.06.09 11:51:26,
USD,638.2,633.01,640.9,640.9,639.56,2021.06.09 11:45:01,
USD,638.2,633.01,640.9,640.9,639.56,2021.06.09 11:34:26,
USD,638.2,633.01,640.9,640.9,639.56,2021.06.09 11:30:30,
USD,638.15,632.96,640.85,640.85,639.56,2021.06.09 11:27:51,
USD,638.25,633.06,640.95,640.95,639.56,2021.06.09 11:21:45,
USD,638.2,633.01,640.9,640.9,639.56,2021.06.09 11:20:53,
USD,638.1,632.91,640.8,640.8,639.56,2021.06.09 11:19:38,
USD,638.15,632.96,640.85,640.85,639.56,2021.06.09 11:17:49,
USD,638.1,632.91,640.8,640.8,639.56,2021.06.09 11:15:47,
USD,638.2,633.01,640.9,640.9,639.56,2021.06.09 11:07:08,
USD,638.25,633.06,640.95,640.95,639.56,2021.06.09 11:03:03,
USD,638.2,633.01,640.9,640.9,639.56,2021.06.09 11:01:20,
USD,638.2,633.01,640.9,640.9,639.56,2021.06.09 10:59:51,
USD,638.25,633.06,640.95,640.95,639.56,2021.06.09 10:57:56,
USD,638.3,633.11,641,641,639.56,2021.06.09 10:56:57,
USD,638.3,633.11,641,641,639.56,2021.06.09 10:56:16,
USD,638.3,633.11,641,641,639.56,2021.06.09 10:53:45,
USD,638.3,633.11,641,641,639.56,2021.06.09 10:50:55,
USD,638.3,633.11,641,641,639.56,2021.06.09 10:44:32,
USD,638.35,633.15,641.05,641.05,639.56,2021.06.09 10:38:23,
USD,638.4,633.2,641.1,641.1,639.56,2021.06.09 10:37:38,
USD,638.45,633.25,641.15,641.15,639.56,2021.06.09 10:30:00,
USD,638.45,633.25,641.15,641.15,639.56,2021.06.09 10:30:00,
USD,638.45,633.25,641.15,641.15,639.56,2021.06.09 10:30:00,
USD,638.45,633.25,641.15,641.15,639.56,2021.06.09 10:24:21,
USD,638.5,633.3,641.2,641.2,639.56,2021.06.09 10:22:02,
USD,638.5,633.3,641.2,641.2,639.56,2021.06.09 10:12:48,
USD,638.45,633.25,641.15,641.15,639.56,2021.06.09 10:11:11,
USD,638.45,633.25,641.15,641.15,639.56,2021.06.09 10:11:11,
USD,638.45,633.25,641.15,641.15,639.56,2021.06.09 10:10:24,
USD,638.45,633.25,641.15,641.15,639.56,2021.06.09 10:10:24,
USD,638.45,633.25,641.15,641.15,639.56,2021.06.09 09:59:32,
USD,638.5,633.3,641.2,641.2,639.56,2021.06.09 09:56:28,
USD,638.55,633.35,641.25,641.25,639.56,2021.06.09 09:55:05,
USD,638.5,633.3,641.2,641.2,639.56,2021.06.09 09:52:31,
USD,638.4,633.2,641.1,641.1,639.56,2021.06.09 09:51:04,
USD,638.45,633.25,641.15,641.15,639.56,2021.06.09 09:46:21,
USD,638.35,633.15,641.05,641.05,639.56,2021.06.09 09:43:19,
USD,638.3,633.11,641,641,639.56,2021.06.09 09:40:44,
USD,638.3,633.11,641,641,639.56,2021.06.09 09:39:32,
USD,638.4,633.2,641.1,641.1,639.56,2021.06.09 09:38:50,
USD,638.5,633.3,641.2,641.2,639.56,2021.06.09 09:36:50,
USD,638.6,633.4,641.3,641.3,639.56,2021.06.09 09:34:59,
USD,638.5,633.3,641.2,641.2,639.56,2021.06.09 09:34:06,
USD,638.45,633.25,641.15,641.15,639.56,2021.06.09 09:33:56,
USD,638.4,633.2,641.1,641.1,639.56,2021.06.09 09:33:05,
USD,638.5,633.3,641.2,641.2,639.56,2021.06.09 09:30:31,
USD,638.72,633.52,641.42,641.42,639.56,2021.06.09 09:28:16,
USD,638.72,633.52,641.42,641.42,639.56,2021.06.09 09:28:06,
USD,638.72,633.52,641.42,641.42,639.09,2021.06.09 09:27:03,
USD,638.72,633.52,641.42,641.42,639.09,2021.06.09 09:13:22,
USD,638.72,633.52,641.42,641.42,639.09,2021.06.09 09:13:17,
USD,638.72,633.52,641.42,641.42,639.09,2021.06.09 07:53:36,
USD,638.72,633.52,641.42,641.42,639.09,2021.06.09 06:45:40,
USD,638.72,633.52,641.42,641.42,639.09,2021.06.09 06:45:32,
USD,638.72,633.52,641.42,641.42,639.09,2021.06.09 05:30:00,
USD,638.72,633.52,641.42,641.42,639.09,2021.06.09 05:30:00,
USD,638.72,633.52,641.42,641.42,639.09,2021.06.09 05:30:00,
USD,638.72,633.52,641.42,641.42,639.09,2021.06.09 00:00:05,
USD,638.72,633.52,641.42,641.42,639.09,2021.06.08 23:22:49,
USD,638.72,633.52,641.42,641.42,639.09,2021.06.08 23:22:49,
USD,638.72,633.52,641.42,641.42,639.09,2021.06.08 23:22:49,
USD,638.72,633.52,641.42,641.42,639.09,2021.06.08 23:04:23,
USD,638.65,633.45,641.35,641.35,639.09,2021.06.08 23:01:51,
USD,638.65,633.45,641.35,641.35,639.09,2021.06.08 22:57:21,
USD,638.65,633.45,641.35,641.35,639.09,2021.06.08 22:09:32,
USD,638.55,633.35,641.25,641.25,639.09,2021.06.08 22:03:16,
USD,638.45,633.25,641.15,641.15,639.09,2021.06.08 22:01:40,
USD,638.45,633.25,641.15,641.15,639.09,2021.06.08 21:57:25,
USD,638.45,633.25,641.15,641.15,639.09,2021.06.08 21:32:41,
USD,638.45,633.25,641.15,641.15,639.09,2021.06.08 21:14:52,
USD,638.45,633.25,641.15,641.15,639.09,2021.06.08 21:08:26,
USD,638.45,633.25,641.15,641.15,639.09,2021.06.08 20:54:47,
USD,638.45,633.25,641.15,641.15,639.09,2021.06.08 20:36:15,
USD,638.45,633.25,641.15,641.15,639.09,2021.06.08 20:26:55,
USD,638.45,633.25,641.15,641.15,639.09,2021.06.08 20:15:28,
USD,638.45,633.25,641.15,641.15,639.09,2021.06.08 20:15:24,
USD,638.45,633.25,641.15,641.15,639.09,2021.06.08 19:22:50,
USD,638.45,633.25,641.15,641.15,639.09,2021.06.08 18:34:31,
USD,638.45,633.25,641.15,641.15,639.09,2021.06.08 18:27:48,
USD,638.45,633.25,641.15,641.15,639.09,2021.06.08 18:18:50,
USD,638.45,633.25,641.15,641.15,639.09,2021.06.08 17:58:26,
USD,638.4,633.2,641.1,641.1,639.09,2021.06.08 17:57:47,
USD,638.3,633.11,641,641,639.09,2021.06.08 17:45:38,
USD,638.3,633.11,641,641,639.09,2021.06.08 17:44:18,
USD,638.3,633.11,641,641,639.09,2021.06.08 17:41:38,
USD,638.3,633.11,641,641,639.09,2021.06.08 17:39:32,
USD,638.3,633.11,641,641,639.09,2021.06.08 17:36:32,
USD,638.35,633.15,641.05,641.05,639.09,2021.06.08 17:18:55,
USD,638.25,633.06,640.95,640.95,639.09,2021.06.08 17:08:54,
USD,638.25,633.06,640.95,640.95,639.09,2021.06.08 17:05:18,
USD,638.2,633.01,640.9,640.9,639.09,2021.06.08 17:04:43,
USD,638.15,632.96,640.85,640.85,639.09,2021.06.08 17:02:47,
USD,638.15,632.96,640.85,640.85,639.09,2021.06.08 17:00:35,
USD,638.15,632.96,640.85,640.85,639.09,2021.06.08 16:54:57,
USD,638.3,633.11,641,641,639.09,2021.06.08 16:50:55,
USD,638.35,633.15,641.05,641.05,639.09,2021.06.08 16:40:57,
USD,638.3,633.11,641,641,639.09,2021.06.08 16:38:56,
USD,638.3,633.11,641,641,639.09,2021.06.08 16:33:45,
USD,638.4,633.2,641.1,641.1,639.09,2021.06.08 16:31:36,
USD,638.45,633.25,641.15,641.15,639.09,2021.06.08 16:29:08,
USD,638.4,633.2,641.1,641.1,639.09,2021.06.08 16:27:20,
USD,638.35,633.15,641.05,641.05,639.09,2021.06.08 16:25:54,
USD,638.3,633.11,641,641,639.09,2021.06.08 16:24:43,
USD,638.25,633.06,640.95,640.95,639.09,2021.06.08 16:23:39,
USD,638.2,633.01,640.9,640.9,639.09,2021.06.08 16:23:32,
USD,638.15,632.96,640.85,640.85,639.09,2021.06.08 16:13:23,
USD,638.2,633.01,640.9,640.9,639.09,2021.06.08 16:09:10,
USD,638.15,632.96,640.85,640.85,639.09,2021.06.08 16:08:48,
USD,638.2,633.01,640.9,640.9,639.09,2021.06.08 16:08:27,
USD,638.25,633.06,640.95,640.95,639.09,2021.06.08 16:06:19,
USD,638.2,633.01,640.9,640.9,639.09,2021.06.08 16:06:13,
USD,638.15,632.96,640.85,640.85,639.09,2021.06.08 16:05:05,
USD,638.05,632.86,640.75,640.75,639.09,2021.06.08 15:58:23,
USD,638.05,632.86,640.75,640.75,639.09,2021.06.08 15:53:47,
USD,638,632.81,640.7,640.7,639.09,2021.06.08 15:51:15,
USD,638.05,632.86,640.75,640.75,639.09,2021.06.08 15:46:17,
USD,638.1,632.91,640.8,640.8,639.09,2021.06.08 15:44:04,
USD,638.15,632.96,640.85,640.85,639.09,2021.06.08 15:41:25,
USD,638.2,633.01,640.9,640.9,639.09,2021.06.08 15:37:35,
USD,638.1,632.91,640.8,640.8,639.09,2021.06.08 15:33:21,
USD,638.15,632.96,640.85,640.85,639.09,2021.06.08 15:27:58,
USD,638.2,633.01,640.9,640.9,639.09,2021.06.08 15:26:27,
USD,638.1,632.91,640.8,640.8,639.09,2021.06.08 15:26:04,
USD,638.05,632.86,640.75,640.75,639.09,2021.06.08 15:23:45,
USD,638.1,632.91,640.8,640.8,639.09,2021.06.08 15:21:58,
USD,638,632.81,640.7,640.7,639.09,2021.06.08 15:18:47,
USD,638,632.81,640.7,640.7,639.09,2021.06.08 15:18:03,
USD,637.95,632.76,640.65,640.65,639.09,2021.06.08 15:17:26,
USD,637.9,632.71,640.6,640.6,639.09,2021.06.08 15:16:48,
USD,637.85,632.66,640.55,640.55,639.09,2021.06.08 15:15:48,
USD,637.85,632.66,640.55,640.55,639.09,2021.06.08 15:13:11,
USD,637.79,632.6,640.49,640.49,639.09,2021.06.08 15:12:21,
USD,637.75,632.56,640.45,640.45,639.09,2021.06.08 15:11:42,
USD,637.75,632.56,640.45,640.45,639.09,2021.06.08 15:09:36,
USD,637.8,632.61,640.5,640.5,639.09,2021.06.08 15:02:37,
USD,637.8,632.61,640.5,640.5,639.09,2021.06.08 15:01:06,
USD,637.75,632.56,640.45,640.45,639.09,2021.06.08 14:59:53,
USD,637.75,632.56,640.45,640.45,639.09,2021.06.08 14:56:04,
USD,637.7,632.51,640.4,640.4,639.09,2021.06.08 14:53:56,
USD,637.65,632.46,640.35,640.35,639.09,2021.06.08 14:51:01,
USD,637.65,632.46,640.35,640.35,639.09,2021.06.08 14:49:20,
USD,637.65,632.46,640.35,640.35,639.09,2021.06.08 14:43:55,
USD,637.7,632.51,640.4,640.4,639.09,2021.06.08 14:40:15,
USD,637.7,632.51,640.4,640.4,639.09,2021.06.08 14:38:04,
USD,637.75,632.56,640.45,640.45,639.09,2021.06.08 14:36:55,
USD,637.8,632.61,640.5,640.5,639.09,2021.06.08 14:35:55,
USD,637.8,632.61,640.5,640.5,639.09,2021.06.08 14:34:38,
USD,637.8,632.61,640.5,640.5,639.09,2021.06.08 14:30:29,
USD,637.85,632.66,640.55,640.55,639.09,2021.06.08 14:23:58,
USD,637.8,632.61,640.5,640.5,639.09,2021.06.08 14:17:49,
USD,637.85,632.66,640.55,640.55,639.09,2021.06.08 14:14:19,
USD,637.8,632.61,640.5,640.5,639.09,2021.06.08 14:11:40,
USD,637.8,632.61,640.5,640.5,639.09,2021.06.08 14:07:45,
USD,637.85,632.66,640.55,640.55,639.09,2021.06.08 14:07:16,
USD,637.9,632.71,640.6,640.6,639.09,2021.06.08 14:06:17,
USD,637.95,632.76,640.65,640.65,639.09,2021.06.08 14:02:50,
USD,638,632.81,640.7,640.7,639.09,2021.06.08 13:57:25,
USD,637.95,632.76,640.65,640.65,639.09,2021.06.08 13:52:35,
USD,637.9,632.71,640.6,640.6,639.09,2021.06.08 13:43:49,
USD,637.95,632.76,640.65,640.65,639.09,2021.06.08 13:41:24,
USD,637.95,632.76,640.65,640.65,639.09,2021.06.08 13:13:56,
USD,637.95,632.76,640.65,640.65,639.09,2021.06.08 12:30:52,
